row_label_raw,row_label_full,col_0,2014Triệu VND(đã phân loại lại),2014Triệu VND(theo báo cáo trước đây),numeric__2014Triệu VND(đã phân loại lại),numeric__2014Triệu VND(theo báo cáo trước đây)
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,8.681.711,8.564.183,8681711.0,8564183.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,454.119,571.647,454119.0,571647.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(421.058),(421.035),-421058.0,-421035.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,(2.048.681),(2.048.704),-2048681.0,-2048704.0
