row_label_raw,row_label_full,col_0,2014Triệu VND(Đã phân loại lại),2014Triệu VND(theo báo cáotrước đây),numeric__2014Triệu VND(Đã phân loại lại),numeric__2014Triệu VND(theo báo cáotrước đây)
Thu nhập lãi và các khoản thu nhập tương tự nhận được,Thu nhập lãi và các khoản thu nhập tương tự nhận được,Thu nhập lãi và các khoản thu nhập tương tự nhận được,9.192.835,9.075.307,9192835.0,9075307.0
Thu nhập từ hoạt động dịch vụ nhận được,Thu nhập từ hoạt động dịch vụ nhận được,Thu nhập từ hoạt động dịch vụ nhận được,228.388,345.916,228388.0,345916.0
Thu nhập khác nhận được,Thu nhập khác nhận được,Thu nhập khác nhận được,3.641,3.664,3641.0,3664.0
Tiền chỉ trả cho nhân viên và hoạt động quản lý,Tiền chỉ trả cho nhân viên và hoạt động quản lý,Tiền chỉ trả cho nhân viên và hoạt động quản lý,(1.824.719),(1.824.742),-1824719.0,-1824742.0
