row_label_raw,row_label_full,col_0,Khu vựcMiền BắcTriệu VND,Khu vựcMiền TrungTriệu VND,Khu vựcMiền NamTriệu VND,Điều chínhTriệu VND,TổngTriệu VNDĐã điềuchính lại,numeric__Khu vựcMiền BắcTriệu VND,numeric__Khu vựcMiền TrungTriệu VND,numeric__Khu vựcMiền NamTriệu VND,numeric__Điều chínhTriệu VND,numeric__TổngTriệu VNDĐã điềuchính lại
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",321.818,218.917,1.121.310,-,1.662.045,321818.0,218917.0,1121310.0,,1662045.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,22.592,16.857,4.249.222,-,4.288.671,22592.0,16857.0,4249222.0,,4288671.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,16.182.704,8.046.428,131.819.368,(1.853.950),154.194.550,16182704.0,8046428.0,131819368.0,-1853950.0,154194550.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,
Nợ phải trả khách hàng bên ngoài,Nợ phải trả > Nợ phải trả khách hàng bên ngoài,Nợ phải trả khách hàng bên ngoài,(19.483.533),(5.039.817),(121.006.409),99.542,(145.430.217),-19483533.0,-5039817.0,-121006409.0,99542.0,-145430217.0
Nợ phải trả nội bộ,Nợ phải trả > Nợ phải trả nội bộ,Nợ phải trả nội bộ,(190),-,(5.296),-,(5.486),-190.0,,-5296.0,,-5486.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,2.903.567,(3.161.322),(2.143.308),811.227,(1.589.836),2903567.0,-3161322.0,-2143308.0,811227.0,-1589836.0
