row_label_raw,row_label_full,2015,Số dưđầu nămTriệu VND,Phát sinh trong năm > Số phải nộpTriệu VND,Phát sinh trong năm > Số đã nộpTriệu VND,Số ducuối nămTriệu VND,numeric__Số dưđầu nămTriệu VND,numeric__Phát sinh trong năm > Số phải nộpTriệu VND,numeric__Phát sinh trong năm > Số đã nộpTriệu VND,numeric__Số ducuối nămTriệu VND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(128.948),20.828,(21.441),(129.561),-128948.0,20828.0,-21441.0,-129561.0
Thuế giá trị gia tăng phải trả,Thuế giá trị gia tăng phải trả,Thuế giá trị gia tăng phải trả,8.496,76.882,(76.069),9.309,8496.0,76882.0,-76069.0,9309.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.958,62.045,(59.584),6.419,3958.0,62045.0,-59584.0,6419.0
Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,3.769,(3.769),-,,3769.0,-3769.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,6.062,(6.062),-,,6062.0,-6062.0,
,,,(116.494),169.586,(166.925),(113.833),-116494.0,169586.0,-166925.0,-113833.0
2014,2014,2014,Số durđầu nămTriệu VND,Phát sinh trong năm,Phát sinh trong năm,Số ducuối nămTriệu VND,,,,
2014,2014,2014,Số durđầu nămTriệu VND,Số phải nộpTriệu VND,Số đã nộpTriệu VND,Số ducuối nămTriệu VND,,,,
Thuế thu nhập doanh nghiệp,2014 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(35.179),12.712,(106.481),(128.948),-35179.0,12712.0,-106481.0,-128948.0
Thuế giá trị gia tăng phải trả,2014 > Thuế giá trị gia tăng phải trả,Thuế giá trị gia tăng phải trả,5.374,49.924,(46.802),8.496,5374.0,49924.0,-46802.0,8496.0
Thuế thu nhập cá nhân,2014 > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,12.492,69.626,(78.160),3.958,12492.0,69626.0,-78160.0,3958.0
Thuế nhà thầu nước ngoài,2014 > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,8.685,(8.685),-,,8685.0,-8685.0,
Các loại thuế khác,2014 > Các loại thuế khác,Các loại thuế khác,-,4.484,(4.484),-,,4484.0,-4484.0,
,,,(17.313),145.431,(244.612),(116.494),-17313.0,145431.0,-244612.0,-116494.0
