row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2015 Triệu VND,31/12/2014 Triệu VND Đã điều chỉnh lại,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2015 Triệu VND,numeric__31/12/2014 Triệu VND Đã điều chỉnh lại
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng",4,2.040.749,1.662.045,,4.0,2040749.0,1662045.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5,2.716.264,3.214.967,,5.0,2716264.0,3214967.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,7.833.274,39.463.116,,6.0,7833274.0,39463116.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,7.833.274,33.219.476,,,7833274.0,33219476.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,95.000,6.243.640,,,95000.0,6243640.0
3,A > 3,3,Dự phòng rủi ro,,(95.000),-,,,-95000.0,
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,7,30.797,13.435,,7.0,30797.0,13435.0
VI,A > VI,VI,Cho vay khách hàng,,83.889.887,86.123.843,,,83889887.0,86123843.0
1,A > 1,1,Cho vay khách hàng,8,84.759.792,87.146.543,,8.0,84759792.0,87146543.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,9,(869.905),(1.022.700),,9.0,-869905.0,-1022700.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,10,19.118.084,19.923.493,,10.0,19118084.0,19923493.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,3.957.184,3.633.649,,,3957184.0,3633649.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,16.178.452,16.518.217,,,16178452.0,16518217.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(1.017.552),(228.373),,,-1017552.0,-228373.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",11,1.869.834,1.940.102,,11.0,1869834.0,1940102.0
3,A > 3,3,Đầu tư vào công ty liên kết,,-,61.723,,,,61723.0
4,A > 4,4,Đầu tư dài hạn khác,,2.031.645,2.031.645,,,2031645.0,2031645.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(161.811),(153.266),,,-161811.0,-153266.0
X,A > X,X,Tài sản cố định,,4.740.627,4.288.671,,,4740627.0,4288671.0
1,A > 1,1,Tài sản cố định hữu hình,12,1.105.024,1.029.615,,12.0,1105024.0,1029615.0
a,A > a,a,Nguyên giá,,2.033.247,1.799.556,,,2033247.0,1799556.0
b,A > b,b,Giá trị hao mòn lũy kế,,(928.223),(769.941),,,-928223.0,-769941.0
3,A > 3,3,Tài sản cố định vô hình,13,3.635.603,3.259.056,,13.0,3635603.0,3259056.0
a,A > a,a,Nguyên giá,,3.730.270,3.341.593,,,3730270.0,3341593.0
b,A > b,b,Giá trị hao mòn lũy kế,,(94.667),(82.537),,,-94667.0,-82537.0
XII,A > XII,XII,Tài sản Có khác,14,2.610.159,3.515.594,,14.0,2610159.0,3515594.0
1,A > 1,1,Các khoản phải thu,,1.520.156,1.929.890,,,1520156.0,1929890.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,992.436,1.408.202,,,992436.0,1408202.0
4,A > 4,4,Tài sản Có khác,,103.567,181.752,,,103567.0,181752.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản có nội bảng khác,,(6.000),(4.250),,,-6000.0,-4250.0
,,,TỔNG TÀI SẢN,,124.849.675,160.145.266,,,124849675.0,160145266.0
