row_label_raw,row_label_full,col_0,2015Triệu VND,2014Triệu VNDĐã điều chỉnh/phân loại lại,numeric__2015Triệu VND,numeric__2014Triệu VNDĐã điều chỉnh/phân loại lại
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,
• Thu từ các khoản nợ đã được xử lý trước đây,Thu nhập từ hoạt động khác > • Thu từ các khoản nợ đã được xử lý trước đây,• Thu từ các khoản nợ đã được xử lý trước đây,66.356,29.721,66356.0,29721.0
• Thu thanh lý quyền sử dụng đất và tài sản cố định khác,Thu nhập từ hoạt động khác > • Thu thanh lý quyền sử dụng đất và tài sản cố định khác,• Thu thanh lý quyền sử dụng đất và tài sản cố định khác,305.106,127.208,305106.0,127208.0
• Thu nhập khác,Thu nhập từ hoạt động khác > • Thu nhập khác,• Thu nhập khác,10.070,3.319,10070.0,3319.0
,,,381.532,160.248,381532.0,160248.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,
• Giá trị ghi sổ của quyền sử dụng đất và tài sản cố định khác được thanh lý,Chi phí hoạt động khác > • Giá trị ghi sổ của quyền sử dụng đất và tài sản cố định khác được thanh lý,• Giá trị ghi sổ của quyền sử dụng đất và tài sản cố định khác được thanh lý,(294.910),(136.230),-294910.0,-136230.0
• Chi phí khác,Chi phí hoạt động khác > • Chi phí khác,• Chi phí khác,(1.480),-,-1480.0,
,,,(296.390),(136.230),-296390.0,-136230.0
,,,85.142,24.018,85142.0,24018.0
