row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Khôngchịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Dưới 1thángTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Từ 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Từ trên 3đến 6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Từ trên 6đến 12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Từ trên 1đến 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2014 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2014 > TổngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Khôngchịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Dưới 1thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Từ 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Từ trên 3đến 6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Từ trên 6đến 12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Từ trên 1đến 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2014 > TổngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,1.662.045,-,-,-,-,-,-,1.662.045,,1662045.0,,,,,,,1662045.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,1.524.941,1.690.026,-,-,-,-,-,3.214.967,,1524941.0,1690026.0,,,,,,3214967.0
Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,-,-,25.323.316,13.689.800,450.000,-,-,-,39.463.116,,,25323316.0,13689800.0,450000.0,,,,39463116.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,13.435,-,-,-,-,-,-,13.435,,13435.0,,,,,,,13435.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),2.680.042,-,45.523.196,21.488.015,6.730.116,9.996.073,545.277,183.824,87.146.543,2680042.0,,45523196.0,21488015.0,6730116.0,9996073.0,545277.0,183824.0,87146543.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,4.786.315,1.850.112,-,3.883.166,3.557.777,2.999.496,3.075.000,20.151.866,,4786315.0,1850112.0,,3883166.0,3557777.0,2999496.0,3075000.0,20151866.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,2.093.368,-,-,-,-,-,-,2.093.368,,2093368.0,,,,,,,2093368.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,4.288.671,-,-,-,-,-,-,4.288.671,,4288671.0,,,,,,,4288671.0
Tài sản cố khác – gộp,Tài sản > Tài sản cố khác – gộp,Tài sản cố khác – gộp,137.815,3.382.029,-,-,-,-,-,-,3.519.844,137815.0,3382029.0,,,,,,,3519844.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),2.817.857,17.750.804,74.386.650,35.177.815,11.063.282,13.553.850,3.544.773,3.258.824,161.553.855,2817857.0,17750804.0,74386650.0,35177815.0,11063282.0,13553850.0,3544773.0,3258824.0,161553855.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,-,-,6.613,-,-,-,6.613,,,,,6613.0,,,,6613.0
Tiền gửi và vay các tổ chứctín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chứctín dụng khác,Tiền gửi và vay các tổ chứctín dụng khác,-,6.093,24.731.255,15.343.892,962.100,-,-,-,41.043.340,,6093.0,24731255.0,15343892.0,962100.0,,,,41043340.0
