row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2015 Triệu VND,31/12/2014 Triệu VND Đã điều chỉnh lại,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2015 Triệu VND,numeric__31/12/2014 Triệu VND Đã điều chỉnh lại
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Ngân hàng Nhà nước Việt Nam,15,544.945,6.613,,15.0,544945.0,6613.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,16,7.933.317,41.043.340,,16.0,7933317.0,41043340.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,7.103.777,29.554.266,,,7103777.0,29554266.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,829.540,11.489.074,,,829540.0,11489074.0
III,B > III,III,Tiền gửi của khách hàng,17,98.430.542,101.371.886,,17.0,98430542.0,101371886.0
VI,B > VI,VI,Phát hành giấy tờ có giá,18,3.000.392,3.008.378,,18.0,3000392.0,3008378.0
VII,B > VII,VII,Các khoản nợ khác,,1.795.758,1.595.322,,,1795758.0,1595322.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,1.510.364,1.264.197,,,1510364.0,1264197.0
2,B > 2,2,Các khoản phải trả và công nợ khác,19,285.394,331.125,,19.0,285394.0,331125.0
,,,TỔNG NỘ PHẢI TRẢ,,111.704.954,147.025.539,,,111704954.0,147025539.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn và các quỹ,21,13.144.721,13.119.727,,21.0,13144721.0,13119727.0
1,B > 1,1,Vốn của tổ chức tín dụng,,12.448.674,12.448.674,,,12448674.0,12448674.0
a,B > a,a,Vốn điều lệ,,12.355.229,12.355.229,,,12355229.0,12355229.0
b,B > b,b,"Vốn đầu tư xây dựng cơ bản, mua sắm tài sản cố định",,15.396,15.396,,,15396.0,15396.0
c,B > c,c,Thặng dư vốn cổ phần,,156.322,156.322,,,156322.0,156322.0
d,B > d,d,Cổ phiếu quỹ,,(78.273),(78.273),,,-78273.0,-78273.0
2,B > 2,2,Các quỹ,,1.513.516,1.505.613,,,1513516.0,1505613.0
5,B > 5,5,Lợi nhuận chưa phân phối,,(817.469),(834.560),,,-817469.0,-834560.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,13.144.721,13.119.727,,,13144721.0,13119727.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,124.849.675,160.145.266,,,124849675.0,160145266.0
