row_label_raw,row_label_full,2014,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócthiết bịTriệu VND,Phương tiệnvận chuyểnTriệu VND,Thiết bịvăn phòngTriệu VND,Tài sảncố định khácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócthiết bịTriệu VND,numeric__Phương tiệnvận chuyểnTriệu VND,numeric__Thiết bịvăn phòngTriệu VND,numeric__Tài sảncố định khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,,
Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 41),Nguyên giá > Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 41),Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 41),255.562,479.042,207.123,42.152,481.507,1.465.386,255562.0,479042.0,207123.0,42152.0,481507.0,1465386.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,193.497,88.939,34.158,316,42.734,359.644,193497.0,88939.0,34158.0,316.0,42734.0,359644.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(79),(1.019),(293),1.391,-,,-79.0,-1019.0,-293.0,1391.0,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(12.662),(31),(9.585),(690),(2.506),(25.474),-12662.0,-31.0,-9585.0,-690.0,-2506.0,-25474.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,436.397,567.871,230.677,41.485,523.126,1.799.556,436397.0,567871.0,230677.0,41485.0,523126.0,1799556.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,,,
Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 41),Giá trị hao mòn lũy kế > Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 41),Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 41),16.098,234.797,106.518,25.684,225.457,608.554,16098.0,234797.0,106518.0,25684.0,225457.0,608554.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,4.968,61.099,37.069,3.269,62.883,169.288,4968.0,61099.0,37069.0,3269.0,62883.0,169288.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(36),(910),(77),1.023,-,,-36.0,-910.0,-77.0,1023.0,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(31),(6.708),(591),(571),(7.901),,-31.0,-6708.0,-591.0,-571.0,-7901.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,21.066,295.829,135.969,28.285,288.792,769.941,21066.0,295829.0,135969.0,28285.0,288792.0,769941.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,,,
Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 41),Giá trị còn lại > Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 41),Số dư đầu năm (đã điều chỉnh lại – Thuyết minh số 41),239.464,244.245,100.605,16.468,256.050,856.832,239464.0,244245.0,100605.0,16468.0,256050.0,856832.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,415.331,272.042,94.708,13.200,234.334,1.029.615,415331.0,272042.0,94708.0,13200.0,234334.0,1029615.0
