row_label_raw,row_label_full,I,NGHĨA VỤ NỘ TIỂM ẦN,35,39.475.997,30.858.294,numeric__NGHĨA VỤ NỘ TIỂM ẦN,numeric__35,numeric__39.475.997,numeric__30.858.294
1,1,1,Bảo lãnh vay vốn,,36.219,34.274,,,36219.0,34274.0
2,2,2,Cam kết giao dịch hối đoái,,32.350.457,22.220.308,,,32350457.0,22220308.0
,,,Trong đó:,,,,,,,
,,,▪ Cam kết mua ngoại tệ,,153.212,99.992,,,153212.0,99992.0
,,,▪ Cam kết bán ngoại tệ,,358.369,867.519,,,358369.0,867519.0
,,,▪ Cam kết giao dịch hoán đổi tiền tệ,,31.838.876,21.252.797,,,31838876.0,21252797.0
4,4,4,Cam kết trong nghiệp vụ L/C,,3.856.992,4.903.797,,,3856992.0,4903797.0
5,5,5,Bảo lãnh khác,,3.068.929,3.544.094,,,3068929.0,3544094.0
6,6,6,Các cam kết khác,,163.400,155.821,,,163400.0,155821.0
