row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2014,Quá hạn,Không kỳ hạn,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 đến 6 tháng,Từ trên 6 đến 12 tháng,Từ trên 1 đến 5 năm,Trên 5 năm,numeric__Quá hạn,numeric__Không kỳ hạn,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3 đến 6 tháng,numeric__Từ trên 6 đến 12 tháng,numeric__Từ trên 1 đến 5 năm,numeric__Trên 5 năm
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,,,,,,,,,,,,,,,,
▪ VND,Tiền gửi tại NHNNVN > ▪ VND,▪ VND,-,"0,60%",-,-,-,-,-,-,,0.006,,,,,,
▪ Ngoại tệ,Tiền gửi tại NHNNVN > ▪ Ngoại tệ,▪ Ngoại tệ,-,"0,25%",-,-,-,-,-,-,,0.0025,,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,,,,,,,,,,,,,,,,
▪ VND,Tiền gửi và cho vay các tổ chức tín dụng khác > ▪ VND,▪ VND,"0,00%","0,33%","3,95%","4,11%","4,62%",-,-,-,0.0,0.0033,0.0395,0.041100000000000005,0.0462,,,
▪ Ngoại tệ,Tiền gửi và cho vay các tổ chức tín dụng khác > ▪ Ngoại tệ,▪ Ngoại tệ,-,"0,11%","1,33%","1,30%",-,-,-,-,,0.0011,0.013300000000000001,0.013000000000000001,,,,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,,,,,,,,,,,,,,,
▪ VND,Cho vay khách hàng > ▪ VND,▪ VND,"12,09%",-,"9,05%","9,26%","10,17%","10,27%","9,44%","9,36%",0.1209,,0.09050000000000001,0.0926,0.1017,0.1027,0.0944,0.09359999999999999
▪ Ngoại tệ,Cho vay khách hàng > ▪ Ngoại tệ,▪ Ngoại tệ,"7,80%",-,"4,31%","3,26%","4,14%","4,00%","4,10%",-,0.078,,0.0431,0.0326,0.0414,0.04,0.040999999999999995,
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,,,,,,,,,,,,,,,,
▪ VND,Chứng khoán đầu tư > ▪ VND,▪ VND,-,-,"4,16%","6,88%","8,03%","10,41%","10,38%","8,90%",,,0.0416,0.0688,0.0803,0.1041,0.1038,0.08900000000000001
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,,,,,,,,,,,,,,,,
▪ Ngoại tệ,Các khoản nợ NHNNVN > ▪ Ngoại tệ,▪ Ngoại tệ,-,-,-,-,"2,02%",-,-,-,,,,,0.0202,,,
Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,,,,,,,,,,,,,,,,
▪ VND,Tiền gửi và vay các tổ chức tín dụng khác > ▪ VND,▪ VND,-,"0,10%","3,92%","4,16%",-,-,-,-,,0.001,0.0392,0.0416,,,,
▪ Ngoại tệ,Tiền gửi và vay các tổ chức tín dụng khác > ▪ Ngoại tệ,▪ Ngoại tệ,-,"0,10%","1,20%","1,33%","1,54%",-,-,-,,0.001,0.012,0.013300000000000001,0.0154,,,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,,,,,,,,,,,,,,
▪ VND,Tiền gửi của khách hàng > ▪ VND,▪ VND,-,"0,30%","4,82%","5,52%","6,44%","7,27%","5,98%","12,40%",,0.003,0.0482,0.0552,0.0644,0.0727,0.059800000000000006,0.124
▪ Ngoại tệ,Tiền gửi của khách hàng > ▪ Ngoại tệ,▪ Ngoại tệ,-,"0,10%","0,83%","0,70%","0,82%","0,70%","0,85%",-,,0.001,0.0083,0.006999999999999999,0.008199999999999999,0.006999999999999999,0.0085,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,,,,,,,,,,,,,,,,
▪ VND,Phát hành giấy tờ có giá > ▪ VND,▪ VND,-,-,"5,28%",-,-,-,-,"12,50%",,,0.0528,,,,,0.125
