row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Vốn đầu tưXDCB vàmua sắmTSCĐTriệu VND,Thặng dưvốn cổ phầnTriệu VND,Cổ phiếuquỹTriệu VND,Quỹ khenthường vàphúc lợiTriệu VND,Quỹ dự trữbổ sungvốn điều lệTriệu VND,Quỹ dựphòng tài chínhTriệu VND,Quỹ đầu tưphát triểnTriệu VND,Lỗ lũy kếTriệu VND,TổngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Vốn đầu tưXDCB vàmua sắmTSCĐTriệu VND,numeric__Thặng dưvốn cổ phầnTriệu VND,numeric__Cổ phiếuquỹTriệu VND,numeric__Quỹ khenthường vàphúc lợiTriệu VND,numeric__Quỹ dự trữbổ sungvốn điều lệTriệu VND,numeric__Quỹ dựphòng tài chínhTriệu VND,numeric__Quỹ đầu tưphát triểnTriệu VND,numeric__Lỗ lũy kếTriệu VND,numeric__TổngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2014(dã điều chỉnh lại – Thuyết minhsố 41),Số dư tại ngày 1 tháng 1 năm 2014(dã điều chỉnh lại – Thuyết minhsố 41),Số dư tại ngày 1 tháng 1 năm 2014(dã điều chỉnh lại – Thuyết minhsố 41),12.355.229,15.396,156.322,-,29.032,511.574,984.322,326,(605.282),13.446.919,12355229.0,15396.0,156322.0,,29032.0,511574.0,984322.0,326.0,-605282.0,13446919.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,340.912,340.912,,,,,,,,,340912.0,340912.0
Trích bổ sung cho các quỹ cho năm trước,Trích bổ sung cho các quỹ cho năm trước,Trích bổ sung cho các quỹ cho năm trước,-,-,-,-,69.026,294,588,-,(69.908),-,,,,,69026.0,294.0,588.0,,-69908.0,
Trích các quỹ trong năm,Trích các quỹ trong năm,Trích các quỹ trong năm,-,-,-,-,-,2.836,5.673,-,(8.509),-,,,,,,2836.0,5673.0,,-8509.0,
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,-,(78.273),-,-,-,-,-,(78.273),,,,-78273.0,,,,,,-78273.0
Chia cổ tức năm trước,Chia cổ tức năm trước,Chia cổ tức năm trước,-,-,-,-,-,-,-,-,(491.773),(491.773),,,,,,,,,-491773.0,-491773.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,-,-,-,-,(46.432),-,-,-,-,(46.432),,,,,-46432.0,,,,,-46432.0
Chuyển sang các khoản phải trả (*),Chuyển sang các khoản phải trả (*),Chuyển sang các khoản phải trả (*),-,-,-,-,(51.626),-,-,-,-,(51.626),,,,,-51626.0,,,,,-51626.0
Số dư tại ngày 1 tháng 1 năm 2015(dã điều chỉnh lại – Thuyết minhsố 41),Số dư tại ngày 1 tháng 1 năm 2015(dã điều chỉnh lại – Thuyết minhsố 41),Số dư tại ngày 1 tháng 1 năm 2015(dã điều chỉnh lại – Thuyết minhsố 41),12.355.229,15.396,156.322,(78.273),-,514.704,990.583,326,(834.560),13.119.727,12355229.0,15396.0,156322.0,-78273.0,,514704.0,990583.0,326.0,-834560.0,13119727.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,39.994,39.994,,,,,,,,,39994.0,39994.0
Điều chỉnh các quỹ cho năm trước,Điều chỉnh các quỹ cho năm trước,Điều chỉnh các quỹ cho năm trước,-,-,-,-,-,(32),(65),-,97,-,,,,,,-32.0,-65.0,,97.0,
Trích các quỹ trong năm,Trích các quỹ trong năm,Trích các quỹ trong năm,-,-,-,-,-,2.666,5.334,-,(8.000),-,,,,,,2666.0,5334.0,,-8000.0,
Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,-,-,-,-,-,-,-,-,(15.000),(15.000),,,,,,,,,-15000.0,-15000.0
Số dư tại ngày31 tháng 12 năm 2015,Số dư tại ngày31 tháng 12 năm 2015,Số dư tại ngày31 tháng 12 năm 2015,12.355.229,15.396,156.322,(78.273),-,517.338,995.852,326,(817.469),13.144.721,12355229.0,15396.0,156322.0,-78273.0,,517338.0,995852.0,326.0,-817469.0,13144721.0
