row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2014,Quá hạn > Quá hạn trên 3 tháng Triệu VND,Quá hạn > Quá hạn đến 3 tháng Triệu VND,Quá hạn > Đến 1 tháng Triệu VND,Trong hạn > Từ trên 1 đến 3 tháng Triệu VND,Trong hạn > Từ trên 3 đến 12 tháng Triệu VND,Trong hạn > Từ trên 1 đến 5 năm Triệu VND,Trong hạn > Trên 5 năm Triệu VND,Trong hạn > Tổng Triệu VND,numeric__Quá hạn > Quá hạn trên 3 tháng Triệu VND,numeric__Quá hạn > Quá hạn đến 3 tháng Triệu VND,numeric__Quá hạn > Đến 1 tháng Triệu VND,numeric__Trong hạn > Từ trên 1 đến 3 tháng Triệu VND,numeric__Trong hạn > Từ trên 3 đến 12 tháng Triệu VND,numeric__Trong hạn > Từ trên 1 đến 5 năm Triệu VND,numeric__Trong hạn > Trên 5 năm Triệu VND,numeric__Trong hạn > Tổng Triệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,-,1.662.045,-,-,-,-,1.662.045,,,1662045.0,,,,,1662045.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,3.214.967,-,-,-,-,3.214.967,,,3214967.0,,,,,3214967.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,25.323.316,13.689.800,450.000,-,-,39.463.116,,,25323316.0,13689800.0,450000.0,,,39463116.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,13.435,-,-,-,13.435,,,,13435.0,,,,13435.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,2.144.371,535.671,7.056.248,13.051.059,25.237.402,11.795.297,27.326.495,87.146.543,2144371.0,535671.0,7056248.0,13051059.0,25237402.0,11795297.0,27326495.0,87146543.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,-,852.103,-,2.040.943,13.683.820,3.575.000,20.151.866,,,852103.0,,2040943.0,13683820.0,3575000.0,20151866.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,2.093.368,2.093.368,,,,,,,2093368.0,2093368.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,535,441,42.141,184.880,4.060.674,4.288.671,,,535.0,441.0,42141.0,184880.0,4060674.0,4288671.0
Tài sản cố khác – gộp,Tài sản > Tài sản cố khác – gộp,Tài sản cố khác – gộp,137.604,211,1.472.187,6.034,1.175.145,728.663,-,3.519.844,137604.0,211.0,1472187.0,6034.0,1175145.0,728663.0,,3519844.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),2.281.975,535.882,39.581.401,26.760.769,28.945.631,26.392.660,37.055.537,161.553.855,2281975.0,535882.0,39581401.0,26760769.0,28945631.0,26392660.0,37055537.0,161553855.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,-,-,4.409,2.204,-,6.613,,,,,4409.0,2204.0,,6613.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,24.737.348,15.343.892,962.100,-,-,41.043.340,,,24737348.0,15343892.0,962100.0,,,41043340.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,44.338.096,15.025.027,22.649.843,19.356.093,2.827,101.371.886,,,44338096.0,15025027.0,22649843.0,19356093.0,2827.0,101371886.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,8.378,-,-,-,3.000.000,3.008.378,,,8378.0,,,,3000000.0,3008378.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,1.393.392,6.625,72.738,122.567,-,1.595.322,,,1393392.0,6625.0,72738.0,122567.0,,1595322.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,70.477.214,30.375.544,23.689.090,19.480.864,3.002.827,147.025.539,,,70477214.0,30375544.0,23689090.0,19480864.0,3002827.0,147025539.0
Mức chênh thanh khoản ròng [(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng [(3)=(1)-(2)],Mức chênh thanh khoản ròng [(3)=(1)-(2)],2.281.975,535.882,(30.895.813),(3.614.775),5.256.541,6.911.796,34.052.710,14.528.316,2281975.0,535882.0,-30895813.0,-3614775.0,5256541.0,6911796.0,34052710.0,14528316.0
