row_label_raw,row_label_full,col_0,col_1,2015Triệu VND,2014Triệu VNDĐã phânloại lại,numeric__col_1,numeric__2015Triệu VND,numeric__2014Triệu VNDĐã phânloại lại
,,,,2015Triệu VND,2014Triệu VNDĐã phânloại lại,,,
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Thu nhập lãi và các khoản thu nhập tương tự nhận được,8.978.479,9.192.835,,8978479.0,9192835.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,Chi phí lãi và các chi phí tương tự đã trả,(4.957.387),(6.057.442),,-4957387.0,-6057442.0
03,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,Thu nhập từ hoạt động dịch vụ nhận được,293.751,228.388,,293751.0,228388.0
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,"Chênh lệch số tiền thực thu từ hoạt động kinh doanh ngoại tệ, vàng và chứng khoán",59.772,170.254,,59772.0,170254.0
05,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,(Chi phí khác đã trả)/thu nhập khác nhận được,(38.637),3.641,,-38637.0,3641.0
06,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,"Tiền thu các khoản nợ đã được xử lý xóa, bù đáp bằng nguồn rủi ro",66.356,29.721,,66356.0,29721.0
07,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 07,07,Tiền chi trả cho nhân viên và hoạt động quản lý,(2.072.604),(1.824.719),,-2072604.0,-1824719.0
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Tiền thuế thu nhập doanh nghiệp thực nộp,(21.441),(106.481),,-21441.0,-106481.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và công nợ hoạt động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và công nợ hoạt động,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và công nợ hoạt động,2.308.289,1.636.197,,2308289.0,1636197.0
Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,,,
09,Những thay đổi về tài sản hoạt động > 09,09,Giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,4.467.198,17.589.752,,4467198.0,17589752.0
10,Những thay đổi về tài sản hoạt động > 10,10,Giảm/(tăng) các khoản về kinh doanh chứng khoán,894.887,(2.036.725),,894887.0,-2036725.0
11,Những thay đổi về tài sản hoạt động > 11,11,Tăng các công cụ tài chính phải sinh và các tài sản tài chính khác,(17.362),(6.245),,-17362.0,-6245.0
12,Những thay đổi về tài sản hoạt động > 12,12,Giảm/(tăng) các khoản cho vay khách hàng,485.703,(8.111.246),,485703.0,-8111246.0
13,Những thay đổi về tài sản hoạt động > 13,13,Giảm nguồn dự phòng để bù đáp tổn thất các khoản,(648.478),(167.090),,-648478.0,-167090.0
14,Những thay đổi về tài sản hoạt động > 14,14,Giảm/(tăng) khác về tài sản hoạt động,286.477,(96.385),,286477.0,-96385.0
Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,,,
15,Những thay đổi về công nợ hoạt động > 15,15,Tăng/(giảm) các khoản nợ Ngân hàng Nhà nước Việt Nam,538.332,(420.188),,538332.0,-420188.0
16,Những thay đổi về công nợ hoạt động > 16,16,Giảm tiền gửi và vay các tổ chức tín dụng khác,(33.110.023),(24.723.214),,-33110023.0,-24723214.0
17,Những thay đổi về công nợ hoạt động > 17,17,Giảm/(tăng) tiền gửi của khách hàng,(2.941.344),21.899.475,,-2941344.0,21899475.0
18,Những thay đổi về công nợ hoạt động > 18,18,Giảm phát hành giấy tờ có giá,(7.986),(4.669.366),,-7986.0,-4669366.0
21,Những thay đổi về công nợ hoạt động > 21,21,Giảm khác về nợ hoạt động khác,(54.434),(16.882),,-54434.0,-16882.0
22,Những thay đổi về công nợ hoạt động > 22,22,Chi từ các quỹ,-,(46.432),,,-46432.0
I,Những thay đổi về công nợ hoạt động > I,I,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG KINH DOANH,(27.798.741),831.651,,-27798741.0,831651.0
