row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vântải, truyền dẫn","Thiết bị,dụng cụ quản lý",Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vântải, truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư tại 01/01/2017,NGUYÊN GIÁ > Số dư tại 01/01/2017,Số dư tại 01/01/2017,19.957.828.489,1.528.176.091,24.824.137.207,3.723.764.823,50.033.906.610,19957828489.0,1528176091.0,24824137207.0,3723764823.0,50033906610.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,-,165.272.725,165.272.725,,,,165272725.0,165272725.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,-,-,165.272.725,165.272.725,,,,165272725.0,165272725.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,-,-,10.654.765.182,-,10.654.765.182,,,10654765182.0,,10654765182.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,,10.654.765.182,-,10.654.765.182,,,10654765182.0,,10654765182.0
Số dư tại 31/12/2017,NGUYÊN GIÁ > Số dư tại 31/12/2017,Số dư tại 31/12/2017,19.957.828.489,1.528.176.091,14.169.372.025,3.889.037.548,39.544.414.153,19957828489.0,1528176091.0,14169372025.0,3889037548.0,39544414153.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư tại 01/01/2016,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2016,Số dư tại 01/01/2016,8.689.998.799,1.433.850.985,8.497.492.519,3.283.976.545,21.905.318.848,8689998799.0,1433850985.0,8497492519.0,3283976545.0,21905318848.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,705.115.900,41.160.048,3.455.099.310,277.602.450,4.478.977.708,705115900.0,41160048.0,3455099310.0,277602450.0,4478977708.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,705.115.900,41.160.048,3.455.099.310,277.602.450,4.478.977.708,705115900.0,41160048.0,3455099310.0,277602450.0,4478977708.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,-,-,3.464.587.060,-,3.464.587.060,,,3464587060.0,,3464587060.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,3.464.587.060,-,3.464.587.060,,,3464587060.0,,3464587060.0
Số dư tại 31/12/2017,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 31/12/2017,Số dư tại 31/12/2017,9.395.114.699,1.475.011.033,8.488.004.769,3.561.578.995,22.919.709.496,9395114699.0,1475011033.0,8488004769.0,3561578995.0,22919709496.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại 01/01/2017,GIÁ TRỊ CÒN LẠI > Tại 01/01/2017,Tại 01/01/2017,11.267.829.690,94.325.106,16.326.644.688,439.788.278,28.128.587.762,11267829690.0,94325106.0,16326644688.0,439788278.0,28128587762.0
Tại 31/12/2017,GIÁ TRỊ CÒN LẠI > Tại 31/12/2017,Tại 31/12/2017,10.562.713.790,53.165.058,5.681.367.256,327.458.553,16.624.704.657,10562713790.0,53165058.0,5681367256.0,327458553.0,16624704657.0
