row_label_raw,row_label_full,TT,Tên công ty,Trụ sở,Tỷ lệ sở hữu/biểu quyết (%),Lĩnh vực kinh doanh chính,numeric__Tên công ty,numeric__Trụ sở,numeric__Tỷ lệ sở hữu/biểu quyết (%),numeric__Lĩnh vực kinh doanh chính
,,,Công ty con,,,,,,,
1,1,1,Công ty Cổ phần Tasco Thành Công,Hà Nội,51,Khai thác VLXD,,,51.0,
2,2,2,Công ty Cổ phần Tasco Nam Thái,Thái Bình,"99,97",Xây lắp,,,99.97,
3,3,3,Công ty Cổ phần VETC,Hà Nội,"97,82",Dịch vụ,,,97.82,
4,4,4,Công ty TNHH MTV Tasco Nam Định,Nam Định,100,Xây lắp,,,100.0,
5,5,5,Công ty TNHH MTV Tasco 6,Nam Định,100,Hạ tầng GT,,,100.0,
6,6,6,Công ty TNHH MTV Tasco Quảng Bình,Quảng Bình,100,Hạ tầng GT,,,100.0,
7,7,7,Công ty TNHH MTV Tasco Hải Phòng,Hải Phòng,100,Hạ tầng GT,,,100.0,
8,8,8,Công ty TNHH T’Hospital,Hà Nội,100,Đầu tư bệnh viện,,,100.0,
9,9,9,Công ty TNHH Đào tạo và tư vấn Tasedu,Hà Nội,100,Đào tạo,,,100.0,
10,10,10,Công ty TNHH Thu phí tự động VETC,Hà Nội,"97,82",Thu phí,,,97.82,
11,11,11,Công ty Cổ phần Bệnh viện mắt Hà Nội cơ sở 2,Hà Nội,67,Y tế,,,67.0,
12,12,12,Công ty TNHH An Nhiên Food,Hòa Bình,100,Nông nghiệp,,,100.0,
13,13,13,Công ty TNHH MTV Dịch vụ Tasco,Hà Nội,100,Dịch vụ,,,100.0,
14,14,14,Công ty Cổ phần Tasco Năng lượng,Ninh Thuận,99,Điện năng,,,99.0,
15,15,15,Công ty Cổ phần bệnh viện Nắng Mai,Hà Nội,51,"Dịch vụ, Y tế",,,51.0,
,,,"Công ty liên doanh, liên kết",,,,,,,
1,1,1,Công ty Cổ phần BDS Thái An,Hà Nội,30,Kinh doanh BDS,,,30.0,
2,2,2,Công ty Cổ phần Tasco Thăng Long,Hà Nội,30,Kinh doanh BDS,,,30.0,
3,3,3,Công ty Cổ phần D-Tech,Hà Nội,20,Khai thác VLXD,,,20.0,
4,4,4,Tổng Công ty Thăng Long – CTCP,Hà Nội,"35,4",Xây lắp,,,35.4,
5,5,5,Công ty TNHH BOT Hùng Thắng-Phú Thọ,Phú Thọ,30,Hạ tầng GT,,,30.0,
