row_label_raw,row_label_full,Phải trả khác,Phải trả khác_1,Phải trả khác_2,numeric__Phải trả khác_1,numeric__Phải trả khác_2
,,,31/12/2017VND,01/01/2017VND,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,83.589.377.856,422.189.691.401,83589377856.0,422189691401.0
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,12.417.800,36.839.745,12417800.0,36839745.0
Bảo hiểm xã hội,Bảo hiểm xã hội,Bảo hiểm xã hội,-,157.825.460,,157825460.0
Bảo hiểm y tế,Bảo hiểm y tế,Bảo hiểm y tế,-,27.316.000,,27316000.0
Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,-,12.140.420,,12140420.0
"Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",9.283.352.220,7.054.031.620,9283352220.0,7054031620.0
"Phải trả, phải nộp khác","Phải trả, phải nộp khác","Phải trả, phải nộp khác",74.293.607.836,414.901.538.156,74293607836.0,414901538156.0
Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,-,47.600.000.000,,47600000000.0
Khách hàng dự án Báo nhân dân,Khách hàng dự án Báo nhân dân,Khách hàng dự án Báo nhân dân,-,53.761.340.486,,53761340486.0
Khách hàng DA khu nhà ởST Xuân Phương,Khách hàng DA khu nhà ởST Xuân Phương,Khách hàng DA khu nhà ởST Xuân Phương,-,68.344.693.722,,68344693722.0
Khách hàng dự án Văn phòng TW Đảng,Khách hàng dự án Văn phòng TW Đảng,Khách hàng dự án Văn phòng TW Đảng,-,203.870.817.122,,203870817122.0
Các khoản khác,Các khoản khác,Các khoản khác,74.293.607.836,41.324.686.826,74293607836.0,41324686826.0
Dài hạn,Dài hạn,Dài hạn,1.572.160.664.568,1.308.925.690.123,1572160664568.0,1308925690123.0
Công ty CP Tư vấn Đầu tư XD Hà Việt(i),Công ty CP Tư vấn Đầu tư XD Hà Việt(i),Công ty CP Tư vấn Đầu tư XD Hà Việt(i),376.475.300.000,376.475.300.000,376475300000.0,376475300000.0
CP sử dụng đất DA Khu nhà ở ST Xuân Phương - Đối trừ BT Lê Đức Thọ (ii),CP sử dụng đất DA Khu nhà ở ST Xuân Phương - Đối trừ BT Lê Đức Thọ (ii),CP sử dụng đất DA Khu nhà ở ST Xuân Phương - Đối trừ BT Lê Đức Thọ (ii),631.485.168.980,332.362.670.049,631485168980.0,332362670049.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,564.200.195.588,600.087.720.074,564200195588.0,600087720074.0
Tổng,Tổng,Tổng,1.655.750.042.424,1.731.115.381.524,1655750042424.0,1731115381524.0
