row_label_raw,row_label_full,col_0,col_1,MS,TM,31/12/2017VND,01/01/2017VND,numeric__col_1,numeric__MS,numeric__TM,numeric__31/12/2017VND,numeric__01/01/2017VND
C-,C-,C-,NỘ PHẢI TRẢ,300,,2.961.046.663.825,3.616.562.650.910,,300.0,,2961046663825.0,3616562650910.0
I.,I.,I.,Nợ ngắn hạn,310,,638.919.103.441,1.091.602.452.146,,310.0,,638919103441.0,1091602452146.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,5.12,296.224.618.413,282.266.132.326,,311.0,512.0,296224618413.0,282266132326.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,92.009.531.003,48.446.213.714,,312.0,,92009531003.0,48446213714.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,5.13,29.009.091.819,28.059.932.395,,313.0,513.0,29009091819.0,28059932395.0
4.,4.,4.,Phải trả người lao động,314,,8.205.632.386,11.522.332.641,,314.0,,8205632386.0,11522332641.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,5.14,110.231.413.214,21.787.567.658,,315.0,514.0,110231413214.0,21787567658.0
8.,8.,8.,Doanh thu chưa thực hiện ngắn hạn,318,5.15,463.790.823,38.181.817,,318.0,515.0,463790823.0,38181817.0
9.,9.,9.,Phải trả ngắn hạn khác,319,5.16,83.589.377.856,422.189.691.401,,319.0,516.0,83589377856.0,422189691401.0
10.,10.,10.,Vay và nợ thuê tài chính ngắn hạn,320,5.17,-,264.055.991.178,,320.0,517.0,,264055991178.0
12.,12.,12.,Quỹ khen thưởng phúc lợi,322,,19.185.647.927,13.236.409.016,,322.0,,19185647927.0,13236409016.0
II.,II.,II.,Nợ dài hạn,330,,2.322.127.560.384,2.524.960.198.764,,330.0,,2322127560384.0,2524960198764.0
6.,6.,6.,Doanh thu chưa thực hiện dài hạn,336,5.15,5.352.249.276,283.659.965,,336.0,515.0,5352249276.0,283659965.0
7.,7.,7.,Phải trả dài hạn khác,337,5.16,1.572.160.664.568,1.308.925.690.123,,337.0,516.0,1572160664568.0,1308925690123.0
8.,8.,8.,Vay và nợ thuê tài chính dài hạn,338,5.17,744.614.646.540,1.215.750.848.676,,338.0,517.0,744614646540.0,1215750848676.0
D-,D-,D-,VỐN CHỦ SỞ HỮU,400,,3.202.949.971.584,2.371.943.735.502,,400.0,,3202949971584.0,2371943735502.0
I-,I-,I-,Vốn chủ sở hữu,410,5.18,3.202.949.971.584,2.371.943.735.502,,410.0,518.0,3202949971584.0,2371943735502.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,2.510.589.130.000,1.763.294.160.000,,411.0,,2510589130000.0,1763294160000.0
,,,Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.510.589.130.000,1.763.294.160.000,,,,2510589130000.0,1763294160000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,85.174.473.675,69.840.926.959,,412.0,,85174473675.0,69840926959.0
7.,7.,7.,Quỹ đầu tư phát triển,418,,98.515.473.161,78.456.473.161,,418.0,,98515473161.0,78456473161.0
10.,10.,10.,Lợi nhuận sau thuế chưa phân phốiLNST chưa phân phối lũy kế đến cuối kỳ trước,421,,508.670.894.748,460.352.175.382,,421.0,,508670894748.0,460352175382.0
,,,Lợi nhuận sau thuế chưa phân phốiLNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,167.839.999.206,59.174.800.400,,,,167839999206.0,59174800400.0
,,,Lợi nhuận sau thuế chưa phân phốiLNST chưa phân phối lũy kế đến cuối kỳ trước,421b,,340.830.895.542,401.177.374.982,,,,340830895542.0,401177374982.0
TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),440,,6.163.996.635.409,5.988.506.386.412,,440.0,,6163996635409.0,5988506386412.0
