row_label_raw,row_label_full,col_0,31/12/2017 > Giá trị ghi sổ,31/12/2017 > Dự phòng,01/01/2017 > Giá trị ghi sổ,01/01/2017 > Dự phòng,numeric__31/12/2017 > Giá trị ghi sổ,numeric__31/12/2017 > Dự phòng,numeric__01/01/2017 > Giá trị ghi sổ,numeric__01/01/2017 > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,267.230.166.719,-,424.600.795.647,-,267230166719.0,,424600795647.0,
"Phải thu cổ tức, lợi nhuận được chia","Phải thu cổ tức, lợi nhuận được chia","Phải thu cổ tức, lợi nhuận được chia",73.817.129.473,-,66.059.575.111,-,73817129473.0,,66059575111.0,
Tạm ứng,Tạm ứng,Tạm ứng,102.575.691.930,-,28.771.351.783,-,102575691930.0,,28771351783.0,
Phải thu khác,Phải thu khác,Phải thu khác,90.837.345.316,-,329.769.868.753,-,90837345316.0,,329769868753.0,
Ban QLDA Quận,Ban QLDA Quận,Ban QLDA Quận,,,,,,,,
Nam Từ Liêm,Ban QLDA Quận > Nam Từ Liêm,Nam Từ Liêm,9.411.831.881,,27.284.014.016,,9411831881.0,,27284014016.0,
Trung tâm phát triển quỹ đất huyện Từ Liêm,Ban QLDA Quận > Trung tâm phát triển quỹ đất huyện Từ Liêm,Trung tâm phát triển quỹ đất huyện Từ Liêm,3.658.391.981,-,11.616.738.417,-,3658391981.0,,11616738417.0,
Phải thu về vay hộ Công ty cổ phần VETC,Ban QLDA Quận > Phải thu về vay hộ Công ty cổ phần VETC,Phải thu về vay hộ Công ty cổ phần VETC,-,-,252.878.803.088,-,,,252878803088.0,
UBND Quận Nam Từ Liêm,Ban QLDA Quận > UBND Quận Nam Từ Liêm,UBND Quận Nam Từ Liêm,48.324.177.720,,,-,48324177720.0,,,
Phải thu đối tượng khác,Ban QLDA Quận > Phải thu đối tượng khác,Phải thu đối tượng khác,29.442.943.734,-,37.990.313.232,-,29442943734.0,,37990313232.0,
Dài hạn,Ban QLDA Quận > Dài hạn,Dài hạn,571.666.118.859,-,758.504.802.786,-,571666118859.0,,758504802786.0,
Phải thu khác,Ban QLDA Quận > Phải thu khác,Phải thu khác,571.666.118.859,-,758.504.802.786,-,571666118859.0,,758504802786.0,
Công ty TNHHMTV Tasco 6,Ban QLDA Quận > Công ty TNHHMTV Tasco 6,Công ty TNHHMTV Tasco 6,479.684.993.394,,685.919.767.481,,479684993394.0,,685919767481.0,
Các đối tượng khác,Ban QLDA Quận > Các đối tượng khác,Các đối tượng khác,91.981.125.465,,72.585.035.305,,91981125465.0,,72585035305.0,
Tổng,Ban QLDA Quận > Tổng,Tổng,838.896.285.578,-,1.183.105.598.433,-,838896285578.0,,1183105598433.0,
