row_label_raw,row_label_full,col_0,31/12/2017 > Giá trị,31/12/2017 > Sô có khã năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,01/01/2017 > Giá trị,01/01/2017 > Sô có khã năng trả nợ,numeric__31/12/2017 > Giá trị,numeric__31/12/2017 > Sô có khã năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__01/01/2017 > Giá trị,numeric__01/01/2017 > Sô có khã năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,-,-,75.166.499.233,339.222.490.411,264.055.991.178,264.055.991.178,,,75166499233.0,339222490411.0,264055991178.0,264055991178.0
Ngân hàng ĐT và PT VN - CN SGD3,Ngân hàng ĐT và PT VN - CN SGD3,Ngân hàng ĐT và PT VN - CN SGD3,-,-,57.758.166.330,321.814.157.508,264.055.991.178,264.055.991.178,,,57758166330.0,321814157508.0,264055991178.0,264055991178.0
Ngân hàng Ngoại thương VN - CN Hà Nội,Ngân hàng Ngoại thương VN - CN Hà Nội,Ngân hàng Ngoại thương VN - CN Hà Nội,-,-,17.408.332.903,17.408.332.903,-,-,,,17408332903.0,17408332903.0,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,586.236.835.341,586.236.835.341,-,366.205.787.201,952.442.622.542,952.442.622.542,586236835341.0,586236835341.0,,366205787201.0,952442622542.0,952442622542.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Nam Định,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Nam Định,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Nam Định,225.782.915.341,225.782.915.341,-,208.733.787.201,434.516.702.542,434.516.702.542,225782915341.0,225782915341.0,,208733787201.0,434516702542.0,434516702542.0
- Vay cho dự án BOT,- Vay cho dự án BOT,- Vay cho dự án BOT,15.610.000.000,15.610.000.000,-,3.350.000.000,18.960.000.000,18.960.000.000,15610000000.0,15610000000.0,,3350000000.0,18960000000.0,18960000000.0
- Vay cho dự án BT,- Vay cho dự án BT,- Vay cho dự án BT,210.172.915.341,210.172.915.341,-,205.000.000.001,415.172.915.342,415.172.915.342,210172915341.0,210172915341.0,,205000000001.0,415172915342.0,415172915342.0
"- Vay cho dự án, hoạt động khác","- Vay cho dự án, hoạt động khác","- Vay cho dự án, hoạt động khác",-,-,-,383.787.200,383.787.200,383.787.200,,,,383787200.0,383787200.0,383787200.0
Ngân hàng PT Việt Nam,Ngân hàng PT Việt Nam,Ngân hàng PT Việt Nam,360.453.920.000,360.453.920.000,-,157.472.000.000,517.925.920.000,517.925.920.000,360453920000.0,360453920000.0,,157472000000.0,517925920000.0,517925920000.0
- Chi nhánh Nam Định,- Chi nhánh Nam Định,- Chi nhánh Nam Định,,,,,,,,,,,,
- Vay cho dự án BOT,- Chi nhánh Nam Định > - Vay cho dự án BOT,- Vay cho dự án BOT,360.453.920.000,360.453.920.000,-,157.472.000.000,517.925.920.000,517.925.920.000,360453920000.0,360453920000.0,,157472000000.0,517925920000.0,517925920000.0
Tổng,- Chi nhánh Nam Định > Tổng,Tổng,586.236.835.341,586.236.835.341,75.166.499.233,705.428.277.612,1.216.498.613.720,1.216.498.613.720,586236835341.0,586236835341.0,75166499233.0,705428277612.0,1216498613720.0,1216498613720.0
