row_label_raw,row_label_full,col_0,31/12/2017 > Giá trị ghi số,31/12/2017 > Số có khả năng trả nợ,01/01/2017 > Giá trị ghi số,01/01/2017 > Số có khả năng trả nợ,numeric__31/12/2017 > Giá trị ghi số,numeric__31/12/2017 > Số có khả năng trả nợ,numeric__01/01/2017 > Giá trị ghi số,numeric__01/01/2017 > Số có khả năng trả nợ
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,296.224.618.413,296.224.618.413,282.266.132.326,282.266.132.326,296224618413.0,296224618413.0,282266132326.0,282266132326.0
Công ty Cổ phần Xây dựng NASACO,Công ty Cổ phần Xây dựng NASACO,Công ty Cổ phần Xây dựng NASACO,15.354.738.020,15.354.738.020,28.453.660.116,28.453.660.116,15354738020.0,15354738020.0,28453660116.0,28453660116.0
Công ty CP Đầu tư Xây dựng Tiến Hưng,Công ty CP Đầu tư Xây dựng Tiến Hưng,Công ty CP Đầu tư Xây dựng Tiến Hưng,7.486.887.773,7.486.887.773,9.718.034.829,9.718.034.829,7486887773.0,7486887773.0,9718034829.0,9718034829.0
Công ty TNHH Hợp Tiến,Công ty TNHH Hợp Tiến,Công ty TNHH Hợp Tiến,1.129.505.703,1.129.505.703,2.313.125.987,2.313.125.987,1129505703.0,1129505703.0,2313125987.0,2313125987.0
Công ty Cổ phần Đầu tư và Xây dựng HUD1,Công ty Cổ phần Đầu tư và Xây dựng HUD1,Công ty Cổ phần Đầu tư và Xây dựng HUD1,15.952.688.257,15.952.688.257,48.884.671.362,48.884.671.362,15952688257.0,15952688257.0,48884671362.0,48884671362.0
Công ty cổ phần Đầu tư & xây dựng HUD3,Công ty cổ phần Đầu tư & xây dựng HUD3,Công ty cổ phần Đầu tư & xây dựng HUD3,22.400.426.189,22.400.426.189,-,-,22400426189.0,22400426189.0,,
Công ty Cổ phần Đầu tư xây dựng Constrexim,Công ty Cổ phần Đầu tư xây dựng Constrexim,Công ty Cổ phần Đầu tư xây dựng Constrexim,18.333.567.223,18.333.567.223,-,-,18333567223.0,18333567223.0,,
Công ty Cổ phần Dịch vụ kỹ thuật,Công ty Cổ phần Dịch vụ kỹ thuật,Công ty Cổ phần Dịch vụ kỹ thuật,14.792.762.891,14.792.762.891,-,-,14792762891.0,14792762891.0,,
Phải trả đối tượng khác,Phải trả đối tượng khác,Phải trả đối tượng khác,200.774.042.357,200.774.042.357,192.896.640.032,192.896.640.032,200774042357.0,200774042357.0,192896640032.0,192896640032.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,-,-,-,-,,,,
Tổng,b. Dài hạn > Tổng,Tổng,296.224.618.413,296.224.618.413,282.266.132.326,282.266.132.326,296224618413.0,296224618413.0,282266132326.0,282266132326.0
