row_label_raw,row_label_full,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2023,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2023,Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày lập báo cáo) > Tài sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2023,Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày lập báo cáo) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2023,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2023,numeric__Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày lập báo cáo) > Tài sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2023,numeric__Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày lập báo cáo) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2023
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,1.499.696,-,8.807,1499696.0,,8807.0
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,59.381.589,-,82.652,59381589.0,,82652.0
,,,60.881.285,-,91.459,60881285.0,,91459.0
Số thuần,Số thuần,Số thuần,,,91.459,,,91459.0
,,,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng,Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày lập báo cáo),Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày lập báo cáo),,,
,,,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng,Tài sảnTriệu đồng,Nợ phải trảTriệu đồng,,,
Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,5.240.908,-,6.428,5240908.0,,6428.0
Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,22.732.869,116.286,-,22732869.0,116286.0,
,,,27.973.777,116.286,6.428,27973777.0,116286.0,6428.0
Số thuần,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2022 > Số thuần,Số thuần,,109.858,,,109858.0,
