row_label_raw,row_label_full,col_0,Báo cáo tình hình tài chính hợp nhất,Báo cáo tình hình tài chính hợp nhất_1,Ảnh hưởng đến Báo cáo kết quả hoạt động hợp nhất,Ảnh hưởng đến Báo cáo kết quả hoạt động hợp nhất_1,numeric__Báo cáo tình hình tài chính hợp nhất,numeric__Báo cáo tình hình tài chính hợp nhất_1,numeric__Ảnh hưởng đến Báo cáo kết quả hoạt động hợp nhất,numeric__Ảnh hưởng đến Báo cáo kết quả hoạt động hợp nhất_1
,,,Số cuối năm Triệu đồng,Số đầu năm Triệu đồng,Năm nay Triệu đồng,Năm trước Triệu đồng,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,,,,,
Dự phòng tài sản Có khác,Tài sản thuế TNDN hoãn lại > Dự phòng tài sản Có khác,Dự phòng tài sản Có khác,373.669,235.852,137.817,(112.273),373669.0,235852.0,137817.0,-112273.0
Lỗ có thể sử dụng để bù trừ với thu nhập chịu thuế trong tương lai,Tài sản thuế TNDN hoãn lại > Lỗ có thể sử dụng để bù trừ với thu nhập chịu thuế trong tương lai,Lỗ có thể sử dụng để bù trừ với thu nhập chịu thuế trong tương lai,19.972,5.659,14.313,(28.664),19972.0,5659.0,14313.0,-28664.0
Chênh lệch tính thuế tạm thời của Công ty con,Tài sản thuế TNDN hoãn lại > Chênh lệch tính thuế tạm thời của Công ty con,Chênh lệch tính thuế tạm thời của Công ty con,-,-,-,(8.661),,,,-8661.0
Chi phí khấu hao,Tài sản thuế TNDN hoãn lại > Chi phí khấu hao,Chi phí khấu hao,4.183,1.336,2.847,(12.561),4183.0,1336.0,2847.0,-12561.0
,,,397.824,242.847,154.977,(162.159),397824.0,242847.0,154977.0,-162159.0
Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,,,,,,,
Chênh lệch chi phí khấu hao của công ty con,Thuế TNDN hoãn lại phải trả > Chênh lệch chi phí khấu hao của công ty con,Chênh lệch chi phí khấu hao của công ty con,-,(694),694,(22),,-694.0,694.0,-22.0
Chênh lệch tạm thời liên quan dự phòng lỗ công ty con,Thuế TNDN hoãn lại phải trả > Chênh lệch tạm thời liên quan dự phòng lỗ công ty con,Chênh lệch tạm thời liên quan dự phòng lỗ công ty con,(29.660),(28.766),(894),(1.020),-29660.0,-28766.0,-894.0,-1020.0
,,,(29.660),(29.460),(200),(1.042),-29660.0,-29460.0,-200.0,-1042.0
Điều chỉnh năm trước,Thuế TNDN hoãn lại phải trả > Điều chỉnh năm trước,Điều chỉnh năm trước,,,14.536,(35.560),,,14536.0,-35560.0
Ảnh hưởng quy đổi tỷ giá,Thuế TNDN hoãn lại phải trả > Ảnh hưởng quy đổi tỷ giá,Ảnh hưởng quy đổi tỷ giá,,,471,2.169,,,471.0,2169.0
Thu nhập/(chi phí) thuế TNDN hoãn lại tính vào Báo cáo kết quả hoạt động hợp nhất,Thuế TNDN hoãn lại phải trả > Thu nhập/(chi phí) thuế TNDN hoãn lại tính vào Báo cáo kết quả hoạt động hợp nhất,Thu nhập/(chi phí) thuế TNDN hoãn lại tính vào Báo cáo kết quả hoạt động hợp nhất,,,139.770,(129.810),,,139770.0,-129810.0
