row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềm máy vi tínhTriệu đồng,TSCĐ vô hình khácTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềm máy vi tínhTriệu đồng,numeric__TSCĐ vô hình khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,2.618.285,1.903.229,903,4.522.417,2618285.0,1903229.0,903.0,4522417.0
Tăng do mua mới và nâng cấp,Nguyên giá > Tăng do mua mới và nâng cấp,Tăng do mua mới và nâng cấp,-,5.569,263,5.832,,5569.0,263.0,5832.0
Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định,Nguyên giá > Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định,Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định,-,236.862,-,236.862,,236862.0,,236862.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.934),-,(1.934),,-1934.0,,-1934.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,40,(40),-,,40.0,-40.0,
Chênh lệch quy đổi tỷ giá,Nguyên giá > Chênh lệch quy đổi tỷ giá,Chênh lệch quy đổi tỷ giá,(2.724),94,-,(2.630),-2724.0,94.0,,-2630.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,2.615.561,2.143.860,1.126,4.760.547,2615561.0,2143860.0,1126.0,4760547.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,63.787,1.400.096,652,1.464.535,63787.0,1400096.0,652.0,1464535.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,8.623,302.988,148,311.759,8623.0,302988.0,148.0,311759.0
Thanh lý và nhượng bán,Giá trị hao mòn lũy kế > Thanh lý và nhượng bán,Thanh lý và nhượng bán,-,(1.934),-,(1.934),,-1934.0,,-1934.0
Chênh lệch quy đổi tỷ giá,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tỷ giá,Chênh lệch quy đổi tỷ giá,-,(481),-,(481),,-481.0,,-481.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,72.410,1.700.669,800,1.773.879,72410.0,1700669.0,800.0,1773879.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,2.554.498,503.133,251,3.057.882,2554498.0,503133.0,251.0,3057882.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,2.543.151,443.191,326,2.986.668,2543151.0,443191.0,326.0,2986668.0
