row_label_raw,row_label_full,Họ và tên,Chức vụ,Triệu đồng,Thông tin bổ nhiệm,numeric__Chức vụ,numeric__Triệu đồng,numeric__Thông tin bổ nhiệm
Ông Trịnh Văn Tỷ,Ông Trịnh Văn Tỷ,Ông Trịnh Văn Tỷ,Chủ tịch HDQTSacombank Cambodia,3.467,Bổ nhiệmngày 11 tháng 8 năm 2023,,3467.0,
Ông Trịnh Văn Tỷ,Ông Trịnh Văn Tỷ,Ông Trịnh Văn Tỷ,Thành viên HDQT độclập Sacombank Lào,,Bổ nhiệmngày 3 tháng 7 năm 2023,,,
Ông Chhuon Chhen,Ông Trịnh Văn Tỷ > Ông Chhuon Chhen,Ông Chhuon Chhen,Thành viên HDQT kiểmPhó Tổng Giám đốcSacombank Cambodia,1.900,Bổ nhiệmngày 11 tháng 8 năm 2023,,1900.0,
Ông Ly Rotha,Ông Trịnh Văn Tỷ > Ông Ly Rotha,Ông Ly Rotha,Thành viên HDQT độclập SacombankCambodia,308,Bổ nhiệmngày 11 tháng 8 năm 2023,,308.0,
Ông Phùng Nguyễn Âu Đệ,Ông Trịnh Văn Tỷ > Ông Phùng Nguyễn Âu Đệ,Ông Phùng Nguyễn Âu Đệ,Thành viên HDQT độclập SacombankCambodia,153,Bổ nhiệmngày 11 tháng 8 năm 2023,,153.0,
Ông Nguyễn Nhị Thanh,Ông Trịnh Văn Tỷ > Ông Nguyễn Nhị Thanh,Ông Nguyễn Nhị Thanh,Chủ tịch HDQTSacombank Lào,1.901,Bổ nhiệmngày 3 tháng 7 năm 2023,,1901.0,
Ông Nguyễn Nhị Thanh,Ông Nguyễn Nhị Thanh,Ông Nguyễn Nhị Thanh,Phó chủ tịch HDQTSacombank Cambodia,,Bổ nhiệmngày 11 tháng 8 năm 2023,,,
Ông Phạm Quang Phú,Ông Nguyễn Nhị Thanh > Ông Phạm Quang Phú,Ông Phạm Quang Phú,Phó chủ tịch HDQTSacombank Lào,1.938,Bổ nhiệmngày 3 tháng 7 năm 2023,,1938.0,
Ông Phan Tấn Dũng,Ông Nguyễn Nhị Thanh > Ông Phan Tấn Dũng,Ông Phan Tấn Dũng,Chủ tịch HDQTSacombank SBA,998,Bổ nhiệmngày 11 tháng 7 năm 2023,,998.0,
Ông Lưu Huỳnh,Ông Nguyễn Nhị Thanh > Ông Lưu Huỳnh,Ông Lưu Huỳnh,Chủ tịch HDQTSacombank SBL,3.617,Bổ nhiệmngày 22 tháng 4 năm 2022,,3617.0,
Ông Lê Văn Bá,Ông Nguyễn Nhị Thanh > Ông Lê Văn Bá,Ông Lê Văn Bá,Trường Ban Kiểm soátSacombank SBL,1.092,Tái bổ nhiệmngày 21 tháng 1 năm 2021,,1092.0,
Ông Đoàn Mậu Lâm,Ông Nguyễn Nhị Thanh > Ông Đoàn Mậu Lâm,Ông Đoàn Mậu Lâm,Thành viên Ban Kiểmsoát Sacombank SBL,669,Tái bổ nhiệmngày 21 tháng 1 năm 2021,,669.0,
Bà Bùi Thị Mai Thoa,Ông Nguyễn Nhị Thanh > Bà Bùi Thị Mai Thoa,Bà Bùi Thị Mai Thoa,Thành viên Ban Kiểmsoát Sacombank SBL,570,Tái bổ nhiệmngày 21 tháng 1 năm 2021,,570.0,
