row_label_raw,row_label_full,col_0,Số đầu năm Triệu đồng,Phát sinh trong năm > Số phải nộp Triệu đồng,Phát sinh trong năm > Số đã nộp Triệu đồng,Phát sinh trong năm > Điều chỉnh khác Triệu đồng,Số cuối năm Triệu đồng,numeric__Số đầu năm Triệu đồng,numeric__Phát sinh trong năm > Số phải nộp Triệu đồng,numeric__Phát sinh trong năm > Số đã nộp Triệu đồng,numeric__Phát sinh trong năm > Điều chỉnh khác Triệu đồng,numeric__Số cuối năm Triệu đồng
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,(242.597),2.016.154,(840.774),3.730,936.513,-242597.0,2016154.0,-840774.0,3730.0,936513.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,132.604,525.407,(596.689),86,61.408,132604.0,525407.0,-596689.0,86.0,61408.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,71.470,728.344,(738.492),187,61.509,71470.0,728344.0,-738492.0,187.0,61509.0
,,,(38.523),3.269.905,(2.175.955),4.003,1.059.430,-38523.0,3269905.0,-2175955.0,4003.0,1059430.0
Trong đó:,Trong đó:,Trong đó:,,,,,,,,,,
Tạm ứng thuế,Trong đó: > Tạm ứng thuế,Tạm ứng thuế,(350.116),,,,(1.908),-350116.0,,,,-1908.0
Thuế và các khoản phải nộp Nhà nước,Trong đó: > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,311.593,,,,1.061.338,311593.0,,,,1061338.0
