row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận chuyểnTriệu đồng,KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận chuyểnTriệu đồng,numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,3.617.185,3.031.551,810.798,398.039,7.857.573,3617185.0,3031551.0,810798.0,398039.0,7857573.0
Tăng do mua mới trong năm,Nguyên giá > Tăng do mua mới trong năm,Tăng do mua mới trong năm,1.288,49.513,68.097,12.564,131.462,1288.0,49513.0,68097.0,12564.0,131462.0
Tăng do nâng cấp,Nguyên giá > Tăng do nâng cấp,Tăng do nâng cấp,245,1.374,-,-,1.619,245.0,1374.0,,,1619.0
Kết chuyển từ đầu tư xây dựng cơ bảnvà mua sắm tài sản cố định,Nguyên giá > Kết chuyển từ đầu tư xây dựng cơ bảnvà mua sắm tài sản cố định,Kết chuyển từ đầu tư xây dựng cơ bảnvà mua sắm tài sản cố định,64.625,414.677,20.643,16.774,516.719,64625.0,414677.0,20643.0,16774.0,516719.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,181,-,-,-,181,181.0,,,,181.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.966),(80.872),(43.530),(6.234),(138.602),-7966.0,-80872.0,-43530.0,-6234.0,-138602.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(1.955),-,-,(1.955),,-1955.0,,,-1955.0
Chênh lệch đánh giá lại tỷ giá,Nguyên giá > Chênh lệch đánh giá lại tỷ giá,Chênh lệch đánh giá lại tỷ giá,(21.291),1.938,(191),(7.175),(26.719),-21291.0,1938.0,-191.0,-7175.0,-26719.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,3.654.267,3.416.226,855.817,413.968,8.340.278,3654267.0,3416226.0,855817.0,413968.0,8340278.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,915.698,1.804.568,435.755,211.757,3.367.778,915698.0,1804568.0,435755.0,211757.0,3367778.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,155.210,451.340,139.796,92.591,838.937,155210.0,451340.0,139796.0,92591.0,838937.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.046),(78.283),(43.530),(5.788),(131.647),-4046.0,-78283.0,-43530.0,-5788.0,-131647.0
Giảm khác,Giá trị khấu hao lũy kế > Giảm khác,Giảm khác,-,(1.955),-,-,(1.955),,-1955.0,,,-1955.0
Chênh lệch đánh giá lại tỷ giá,Giá trị khấu hao lũy kế > Chênh lệch đánh giá lại tỷ giá,Chênh lệch đánh giá lại tỷ giá,(11.907),1.484,(262),(4.922),(15.607),-11907.0,1484.0,-262.0,-4922.0,-15607.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,1.054.955,2.177.154,531.759,293.638,4.057.506,1054955.0,2177154.0,531759.0,293638.0,4057506.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,2.701.487,1.226.983,375.043,186.282,4.489.795,2701487.0,1226983.0,375043.0,186282.0,4489795.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,2.599.312,1.239.072,324.058,120.330,4.282.772,2599312.0,1239072.0,324058.0,120330.0,4282772.0
