row_label_raw,row_label_full,col_0,Miền BắcTriệu đồng,Miền TrungTriệu đồng,Miền NamTriệu đồng,LàoTriệu đồng,Tổng bộ phận đãCampuchiaTriệu đồng,báo cáoTriệu đồng,Loại trừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__Miền NamTriệu đồng,numeric__LàoTriệu đồng,numeric__Tổng bộ phận đãCampuchiaTriệu đồng,numeric__báo cáoTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng cộngTriệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,10.535.362(7.670.749),10.283.806(6.264.181),53.567.137(38.656.568),165.267(81.923),392.932(198.750),74.944.504(52.872.171),(19.017.175)19.017.175,55.927.329(33.854.996),,,,,,,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,10.535.362(7.670.749),10.283.806(6.264.181),53.567.137(38.656.568),165.267(81.923),392.932(198.750),74.944.504(52.872.171),(19.017.175)19.017.175,55.927.329(33.854.996),,,,,,,,
Thu nhập lãi thuần,Chi phí lãi và các chi phí tương tự > Thu nhập lãi thuần,Thu nhập lãi thuần,2.864.613,4.019.625,14.910.569,83.344,194.182,22.072.333,-,22.072.333,2864613.0,4019625.0,14910569.0,83344.0,194182.0,22072333.0,,22072333.0
Các khoản thu nhập ngoài lãi,Chi phí lãi và các chi phí tương tự > Các khoản thu nhập ngoài lãi,Các khoản thu nhập ngoài lãi,244.239,161.722,3.541.373,58.325,95.019,4.100.678,-,4.100.678,244239.0,161722.0,3541373.0,58325.0,95019.0,4100678.0,,4100678.0
TỔNG THU NHẬP HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,3.108.852,4.181.347,18.451.942,141.669,289.201,26.173.011,-,26.173.011,3108852.0,4181347.0,18451942.0,141669.0,289201.0,26173011.0,,26173011.0
TỔNG CHI PHÍ HOẠT ĐỘNG,Chi phí lãi và các chi phí tương tự > TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(1.158.259),(983.323),(10.430.971),(102.862),(214.491),(12.889.906),-,(12.889.906),-1158259.0,-983323.0,-10430971.0,-102862.0,-214491.0,-12889906.0,,-12889906.0
Lợi nhuận thuần tử hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Lợi nhuận thuần tử hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần tử hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,1.950.593,3.198.024,8.020.971,38.807,74.710,13.283.105,-,13.283.105,1950593.0,3198024.0,8020971.0,38807.0,74710.0,13283105.0,,13283105.0
Chi phí dự phòng rủi ro tín dụng,Chi phí lãi và các chi phí tương tự > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,-,-,(3.822.179),33.376,100.698,(3.688.105),-,(3.688.105),,,-3822179.0,33376.0,100698.0,-3688105.0,,-3688105.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,Chi phí lãi và các chi phí tương tự > TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,1.950.593,3.198.024,4.198.792,72.183,175.408,9.595.000,-,9.595.000,1950593.0,3198024.0,4198792.0,72183.0,175408.0,9595000.0,,9595000.0
Tổng chi phí thuế thu nhập doanh nghiệp,Chi phí lãi và các chi phí tương tự > Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,-,-,(1.862.936),(7.207),(6.241),(1.876.384),-,(1.876.384),,,-1862936.0,-7207.0,-6241.0,-1876384.0,,-1876384.0
LỢI NHUẬN SAU THUẾ,Chi phí lãi và các chi phí tương tự > LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,1.950.593,3.198.024,2.335.856,64.976,169.167,7.718.616,-,7.718.616,1950593.0,3198024.0,2335856.0,64976.0,169167.0,7718616.0,,7718616.0
TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,TẢI SẢN,,,,,,,,
"Tiền mặt, vàng bạc và đá quý","TẢI SẢN > Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",1.018.457,1.009.752,5.296.065,29.952,191.044,7.545.270,-,7.545.270,1018457.0,1009752.0,5296065.0,29952.0,191044.0,7545270.0,,7545270.0
Tiền gửi tại NHNN,TẢI SẢN > Tiền gửi tại NHNN,Tiền gửi tại NHNN,222.085,491.433,10.698.366,376.356,1.059.805,12.848.045,-,12.848.045,222085.0,491433.0,10698366.0,376356.0,1059805.0,12848045.0,,12848045.0
Tiền gửi tại và cho vay các TCTD khác,TẢI SẢN > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,16.994,769,49.870.406,356.721,88.081,50.332.971,-,50.332.971,16994.0,769.0,49870406.0,356721.0,88081.0,50332971.0,,50332971.0
Cho vay khách hàng,TẢI SẢN > Cho vay khách hàng,Cho vay khách hàng,69.229.619,83.011.254,317.527.514,1.332.335,4.068.386,475.169.108,-,475.169.108,69229619.0,83011254.0,317527514.0,1332335.0,4068386.0,475169108.0,,475169108.0
Đầu tư,TẢI SẢN > Đầu tư,Đầu tư,-,-,74.707.044,10.838,605,74.718.487,-,74.718.487,,,74707044.0,10838.0,605.0,74718487.0,,74718487.0
Tài sản khác,TẢI SẢN > Tài sản khác,Tài sản khác,2.549.509,1.369.874,50.115.479,144.943,158.723,54.338.528,(562.749),53.775.779,2549509.0,1369874.0,50115479.0,144943.0,158723.0,54338528.0,-562749.0,53775779.0
TỔNG TÀI SẢN,TẢI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,73.036.664,85.883.082,508.214.874,2.251.145,5.566.644,674.952.409,(562.749),674.389.660,73036664.0,85883082.0,508214874.0,2251145.0,5566644.0,674952409.0,-562749.0,674389660.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,
Các khoản nợ Chính phủ và NHNN Việt Nam,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và NHNN Việt Nam,Các khoản nợ Chính phủ và NHNN Việt Nam,-,-,19.328,-,-,19.328,-,19.328,,,19328.0,,,19328.0,,19328.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,68.302,5.474,37.748.726,452,127.157,37.950.111,-,37.950.111,68302.0,5474.0,37748726.0,452.0,127157.0,37950111.0,,37950111.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,92.234.958,64.408.975,348.642.317,1.381.906,4.076.238,510.744.394,-,510.744.394,92234958.0,64408975.0,348642317.0,1381906.0,4076238.0,510744394.0,,510744394.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,4.818.466,2.388.059,21.785.966,-,-,28.992.491,-,28.992.491,4818466.0,2388059.0,21785966.0,,,28992491.0,,28992491.0
Nợ phải trả khác,NỘ PHẢI TRẢ > Nợ phải trả khác,Nợ phải trả khác,2.826.077,1.727.531,46.381.549,412.555,164.509,51.512.221,(562.749),50.949.472,2826077.0,1727531.0,46381549.0,412555.0,164509.0,51512221.0,-562749.0,50949472.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,99.947.803,68.530.039,454.577.886,1.794.913,4.367.904,629.218.545,(562.749),628.655.796,99947803.0,68530039.0,454577886.0,1794913.0,4367904.0,629218545.0,-562749.0,628655796.0
