row_label_raw,row_label_full,Số đầu năm > Số trích lập/(hoàn nhập) dự phòng rủi ro tài sản Có khác trong năm,Năm nayTriệu đồng > 2.434.061 > 472.523,Năm trướcTriệu đồng > 3.076.422 > (642.361),numeric__Năm nayTriệu đồng > 2.434.061 > 472.523,numeric__Năm trướcTriệu đồng > 3.076.422 > (642.361)
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,106,-,106.0,
Số cuối năm,Số cuối năm,Số cuối năm,2.906.690,2.434.061,2906690.0,2434061.0
