row_label_raw,row_label_full,Số đầu năm,Năm nayTriệu đồng > Số đầu năm,Năm trướcTriệu đồng > Số đầu năm,numeric__Năm nayTriệu đồng > Số đầu năm,numeric__Năm trướcTriệu đồng > Số đầu năm
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,8.246,9.080,8246.0,9080.0
Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,14.639.238,6.022.425,14639238.0,6022425.0
,,,14.647.484,6.031.505,14647484.0,6031505.0
Số trích lập trong năm,Số trích lập trong năm,Số trích lập trong năm,Số trích lập trong năm,Số trích lập trong năm,,
Chứng khoán đầu tư sẵn sàng để bán,Số trích lập trong năm > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,4.540,(834),4540.0,-834.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Dự phòng/(hoàn nhập dự phòng) giảm giá chứng khoán nợ,Trong đó: > - Dự phòng/(hoàn nhập dự phòng) giảm giá chứng khoán nợ,- Dự phòng/(hoàn nhập dự phòng) giảm giá chứng khoán nợ,4.540,(834),4540.0,-834.0
Trái phiếu đặc biệt do VAMC phát hành,Trong đó: > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,1.427.309,8.623.938,1427309.0,8623938.0
,,,1.431.849,8.623.104,1431849.0,8623104.0
Số dự phòng đã sử dụng để xử lý rủi ro,Trong đó: > Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,(1.463.665),(7.125),-1463665.0,-7125.0
Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,,,,
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,
Chứng khoán đầu tư sẵn sàng để bán,Số cuối năm > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,12.786,8.246,12786.0,8246.0
Trái phiếu đặc biệt do VAMC phát hành,Số cuối năm > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,14.602.882,14.639.238,14602882.0,14639238.0
,,,14.615.668,14.647.484,14615668.0,14647484.0
