row_label_raw,row_label_full,col_0,Kinh doanhTriệu đồng,Giữ đến ngàyđảo hạnTriệu đồng,Cho vay vàphải thuTriệu đồng,Sẵn sàngđể bánTriệu đồng,Tài sản và nợ kháchạch toán theogiá trị phân bổTriệu đồng,Tổng cộnggiá trị ghi sốTriệu đồng,Giá trị hợp lýTriệu đồng,numeric__Kinh doanhTriệu đồng,numeric__Giữ đến ngàyđảo hạnTriệu đồng,numeric__Cho vay vàphải thuTriệu đồng,numeric__Sẵn sàngđể bánTriệu đồng,numeric__Tài sản và nợ kháchạch toán theogiá trị phân bổTriệu đồng,numeric__Tổng cộnggiá trị ghi sốTriệu đồng,numeric__Giá trị hợp lýTriệu đồng
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,,
"Tiền mặt, vàng bạc và đá quý","Tài sản tài chính > Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",-,-,-,-,7.545.270,7.545.270,7.545.270,,,,,7545270.0,7545270.0,7545270.0
Tiền gửi tại NHNN,Tài sản tài chính > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,-,-,12.848.045,12.848.045,12.848.045,,,,,12848045.0,12848045.0,12848045.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản tài chính > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,-,-,218.570,-,50.114.401,50.332.971,(*),,,218570.0,,50114401.0,50332971.0,
Cho vay khách hàng,Tài sản tài chính > Cho vay khách hàng,Cho vay khách hàng,-,-,475.169.108,-,-,475.169.108,(*),,,475169108.0,,,475169108.0,
Chứng khoán sẵn sàng để bán,Tài sản tài chính > Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,22.549.749,-,22.549.749,(*),,,,22549749.0,,22549749.0,
Chứng khoán giữ đến ngày đáo hạn,Tài sản tài chính > Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,52.086.096,-,-,-,52.086.096,(*),,52086096.0,,,,52086096.0,
Đầu tư dài hạn khác,Tài sản tài chính > Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,82.642,-,82.642,(*),,,,82642.0,,82642.0,
Tài sản tài chính khác,Tài sản tài chính > Tài sản tài chính khác,Tài sản tài chính khác,-,-,-,-,42.979.539,42.979.539,(*),,,,,42979539.0,42979539.0,
,,,-,52.086.096,475.387.678,22.632.391,113.487.255,663.593.420,,,52086096.0,475387678.0,22632391.0,113487255.0,663593420.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,,,,,,,
Việt Nam,Các khoản nợ Chính phủ và NHNN > Việt Nam,Việt Nam,-,-,-,-,19.328,19.328,(*),,,,,19328.0,19328.0,
Tiền gửi và vay các TCTD khác,Các khoản nợ Chính phủ và NHNN > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,37.950.111,37.950.111,(*),,,,,37950111.0,37950111.0,
Tiền gửi của khách hàng,Các khoản nợ Chính phủ và NHNN > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,510.744.394,510.744.394,(*),,,,,510744394.0,510744394.0,
Các công cụ tài chính phải sinh và các nợ phải trả tài chính khác,Các khoản nợ Chính phủ và NHNN > Các công cụ tài chính phải sinh và các nợ phải trả tài chính khác,Các công cụ tài chính phải sinh và các nợ phải trả tài chính khác,91.459,-,-,-,-,91.459,(*),91459.0,,,,,91459.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Các khoản nợ Chính phủ và NHNN > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,323.147,323.147,(*),,,,,323147.0,323147.0,
Phát hành giấy tờ có giá,Các khoản nợ Chính phủ và NHNN > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,28.992.491,28.992.491,(*),,,,,28992491.0,28992491.0,
Các khoản nợ tài chính khác,Các khoản nợ Chính phủ và NHNN > Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,45.608.558,45.608.558,(*),,,,,45608558.0,45608558.0,
,,,91.459,-,-,-,623.638.029,623.729.488,,91459.0,,,,623638029.0,623729488.0,
