row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Triệu đồng,%,Triệu đồng,%,,,,
Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,211.961.149,"43,91",212.890.201,"48,54",211961149.0,43.91,212890201.0,48.54
"Bán buôn và bán lẻ; sữa chữa ô tô, mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sữa chữa ô tô, mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sữa chữa ô tô, mô tô, xe máy và xe có động cơ khác",51.532.760,"10,68",43.657.534,"9,95",51532760.0,10.68,43657534.0,9.95
Xây dựng,Xây dựng,Xây dựng,42.913.190,"8,89",28.447.719,"6,49",42913190.0,8.89,28447719.0,6.49
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",42.117.519,"8,72",39.124.557,"8,92",42117519.0,8.72,39124557.0,8.92
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",25.416.410,"5,27",19.342.166,"4,41",25416410.0,5.27,19342166.0,4.41
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,13.818.156,"2,86",6.714.727,"1,53",13818156.0,2.86,6714727.0,1.53
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",7.704.296,"1,60",5.713.791,"1,30",7704296.0,1.6,5713791.0,1.3
"Hoạt động tài chính, ngân hàng, bảo hiểm","Hoạt động tài chính, ngân hàng, bảo hiểm","Hoạt động tài chính, ngân hàng, bảo hiểm",6.894.384,"1,43",6.338.234,"1,45",6894384.0,1.43,6338234.0,1.45
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,6.301.208,"1,31",3.629.882,"0,83",6301208.0,1.31,3629882.0,0.83
"Giáo dục, đào tạo","Giáo dục, đào tạo","Giáo dục, đào tạo",5.543.395,"1,15",5.784.057,"1,32",5543395.0,1.15,5784057.0,1.32
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,5.333.073,"1,10",5.008.055,"1,14",5333073.0,1.1,5008055.0,1.14
Y tế và hoạt động cứu trợ xã hội,Y tế và hoạt động cứu trợ xã hội,Y tế và hoạt động cứu trợ xã hội,3.180.710,"0,66",3.205.641,"0,73",3180710.0,0.66,3205641.0,0.73
Khai khoáng,Khai khoáng,Khai khoáng,1.455.613,"0,30",1.309.737,"0,30",1455613.0,0.3,1309737.0,0.3
"Hoạt động của Đảng Cộng sản, tổ chức chính trị xã hội, quản lý nhà nước, an ninh quốc phòng, bảo đảm xã hội bất buộc","Hoạt động của Đảng Cộng sản, tổ chức chính trị xã hội, quản lý nhà nước, an ninh quốc phòng, bảo đảm xã hội bất buộc","Hoạt động của Đảng Cộng sản, tổ chức chính trị xã hội, quản lý nhà nước, an ninh quốc phòng, bảo đảm xã hội bất buộc",1.123.089,"0,23",1.121.513,"0,26",1123089.0,0.23,1121513.0,0.26
Hoạt động chuyên môn khoa học và công nghệ,Hoạt động chuyên môn khoa học và công nghệ,Hoạt động chuyên môn khoa học và công nghệ,311.670,"0,06",274.595,"0,06",311670.0,0.06,274595.0,0.06
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vất chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vất chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vất chất và dịch vụ tự tiêu dùng của hộ gia đình",153.920,"0,03",94.440,"0,02",153920.0,0.03,94440.0,0.02
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,140.609,"0,03",150.047,"0,03",140609.0,0.03,150047.0,0.03
"Nghệ thuật vui chơi, giải trí","Nghệ thuật vui chơi, giải trí","Nghệ thuật vui chơi, giải trí",140.563,"0,03",137.337,"0,03",140563.0,0.03,137337.0,0.03
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",6.130,"0,00",11.315,"0,00",6130.0,0.0,11315.0,0.0
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,56.683.278,"11,74",55.672.229,"12,69",56683278.0,11.74,55672229.0,12.69
,,,482.731.122,"100,00",438.627.777,"100,00",482731122.0,100.0,438627777.0,100.0
