row_label_raw,row_label_full,col_0,Vốn điều lệTriệu đồng,Vốn đầu tưXDCB và mua sắm TSCĐTriệu đồng,Thăng dưvốn cổ phầnTriệu đồng,Vốn khácTriệu đồng,Các quỹdự trữTriệu đồng,Chênh lệchtỷ giáhối đoáiTriệu đồng,Lợi nhuậnchưaphân phốiTriệu đồng,Tổng cộngTriệu đồng,numeric__Vốn điều lệTriệu đồng,numeric__Vốn đầu tưXDCB và mua sắm TSCĐTriệu đồng,numeric__Thăng dưvốn cổ phầnTriệu đồng,numeric__Vốn khácTriệu đồng,numeric__Các quỹdự trữTriệu đồng,numeric__Chênh lệchtỷ giáhối đoáiTriệu đồng,numeric__Lợi nhuậnchưaphân phốiTriệu đồng,numeric__Tổng cộngTriệu đồng
Số đầu năm,Số đầu năm,Số đầu năm,18.852.157,1.121,1.747.651,653,4.223.224,(169.492),13.971.682,38.626.996,18852157.0,1121.0,1747651.0,653.0,4223224.0,-169492.0,13971682.0,38626996.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,-,-,-,(55.997),7.718.616,7.662.619,,,,,,-55997.0,7718616.0,7662619.0
Trích lập các quỹ chonăm trước,Trích lập các quỹ chonăm trước,Trích lập các quỹ chonăm trước,-,-,-,-,747.933,-,(747.933),-,,,,,747933.0,,-747933.0,
"Trích lập Quỹ khenthường, phúc lợi","Trích lập Quỹ khenthường, phúc lợi","Trích lập Quỹ khenthường, phúc lợi",-,-,-,-,-,-,(554.288),(554.288),,,,,,,-554288.0,-554288.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,-,-,(1.463),(1.463),,,,,,,-1463.0,-1463.0
Số cuối năm,Số cuối năm,Số cuối năm,18.852.157,1.121,1.747.651,653,4.971.157,(225.489),20.386.614,45.733.864,18852157.0,1121.0,1747651.0,653.0,4971157.0,-225489.0,20386614.0,45733864.0
