row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2023%,Ngày 31 tháng 12năm 2022%,numeric__Ngày 31 tháng 12năm 2023%,numeric__Ngày 31 tháng 12năm 2022%
Tiền gửi bằng KHR,Tiền gửi bằng KHR,Tiền gửi bằng KHR,"7,00","7,00",7.0,7.0
Tiền gửi bằng tiền tệ khác KHR,Tiền gửi bằng tiền tệ khác KHR,Tiền gửi bằng tiền tệ khác KHR,"9,00","7,00",9.0,7.0
