row_label_raw,row_label_full,Số đầu năm > Trích lập Quỹ trong năm > Sử dụng Quỹ trong năm,Năm nayTriệu đồng > 1.553.182 > 554.288 > (10.068),Năm trướcTriệu đồng > 1.161.864 > 404.737 > (13.419),numeric__Năm nayTriệu đồng > 1.553.182 > 554.288 > (10.068),numeric__Năm trướcTriệu đồng > 1.161.864 > 404.737 > (13.419)
Tăng khác,Tăng khác,Tăng khác,9,-,9.0,
Số cuối năm,Số cuối năm,Số cuối năm,2.097.411,1.553.182,2097411.0,1553182.0
