row_label_raw,row_label_full,col_0,Số phải thuđầu năm,Số phải nộp đầu năm,Số phải nộp trongnăm,Số đã thực nộp trongnăm,Số phải thucuối năm,Số phải nộpcuối năm,numeric__Số phải thuđầu năm,numeric__Số phải nộp đầu năm,numeric__Số phải nộp trongnăm,numeric__Số đã thực nộp trongnăm,numeric__Số phải thucuối năm,numeric__Số phải nộpcuối năm
,,,VND,VND,VND,VND,VND,VND,,,,,,
- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,- Thuế giá trị gia tăng,64.040.069,22.805.847.796,72.116.326.527,90.029.583.843,-,5.535.478.557,64040069.0,22805847796.0,72116326527.0,90029583843.0,,5535478557.0
- Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,- Thuế tiêu thụ đặc biệt,-,1.499.103.809,-,-,-,1.721.710.340,,1499103809.0,,,,1721710340.0
- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,-,36.007.468.953,17.703.246.051,68.662.902.490,16.774.279.006,1.884.673.786,,36007468953.0,17703246051.0,68662902490.0,16774279006.0,1884673786.0
- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,-,643.410.159,5.563.588.701,4.588.809.312,1.195.947,1.988.458.829,,643410159.0,5563588701.0,4588809312.0,1195947.0,1988458829.0
- Thuế tài nguyên,- Thuế tài nguyên,- Thuế tài nguyên,-,15.380.480,78.845.440,78.952.640,-,22.902.720,,15380480.0,78845440.0,78952640.0,,22902720.0
- Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,115.213.520,420.734.566,438.010.775,754.125.899,364.022.290,369.412.124,115213520.0,420734566.0,438010775.0,754125899.0,364022290.0,369412124.0
- Các loại thuế khác,- Các loại thuế khác,- Các loại thuế khác,-,110.669.611,2.801.480.866,2.817.318.368,-,94.832.109,,110669611.0,2801480866.0,2817318368.0,,94832109.0
"- Các khoản phí, lệ phí và các khoản phải nộp khác","- Các khoản phí, lệ phí và các khoản phải nộp khác","- Các khoản phí, lệ phí và các khoản phải nộp khác",-,18.538.545.480,-,18.538.545.480,-,-,,18538545480.0,,18538545480.0,,
,,,179.253.589,80.041.160.854,98.701.498.360,185.470.238.032,17.139.497.243,11.617.468.465,179253589.0,80041160854.0,98701498360.0,185470238032.0,17139497243.0,11617468465.0
