row_label_raw,row_label_full,col_0,Vốn đầu tư của Chủ sở hữu,Vốn khác của Chủ sở hữu,Chênh lệch tỷ giá hối doái,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn Chủ sở hữu,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của Chủ sở hữu,numeric__Vốn khác của Chủ sở hữu,numeric__Chênh lệch tỷ giá hối doái,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn Chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,1.350.000.000.000,14.729.387.503,80.763.471.555,377.413.025.043,44.977.782,377.298.814.561,165.061.918.500,2.365.311.594.944,1350000000000.0,14729387503.0,80763471555.0,377413025043.0,44977782.0,377298814561.0,165061918500.0,2365311594944.0
Lãi trong năm,Lãi trong năm,Lãi trong năm,-,-,-,-,-,395.269.545.806,4.027.430.408,399.296.976.214,,,,,,395269545806.0,4027430408.0,399296976214.0
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,110.649.307.603,-,(108.552.359.653),(2.096.947.950),-,,,,110649307603.0,,-108552359653.0,-2096947950.0,
Chỉ trả cổ tức năm trước,Chỉ trả cổ tức năm trước,Chỉ trả cổ tức năm trước,-,-,-,-,-,-,(17.684.544.000),(17.684.544.000),,,,,,,-17684544000.0,-17684544000.0
Lợi nhuận nộp về chủ sở hữu,Lợi nhuận nộp về chủ sở hữu,Lợi nhuận nộp về chủ sở hữu,-,-,-,-,-,(127.073.947.737),-,(127.073.947.737),,,,,,-127073947737.0,,-127073947737.0
Trích nộp ngân sách Đảng,Trích nộp ngân sách Đảng,Trích nộp ngân sách Đảng,-,-,-,-,-,(23.725.234.862),-,(23.725.234.862),,,,,,-23725234862.0,,-23725234862.0
Trích Quỹ khen thưởng & Ban điều hành,Trích Quỹ khen thưởng & Ban điều hành,Trích Quỹ khen thưởng & Ban điều hành,-,-,-,-,-,(28.839.242.894),(589.990.420),(29.429.233.314),,,,,,-28839242894.0,-589990420.0,-29429233314.0
Chênh lệch tỷ giá do chuyển đổi BCTC,Chênh lệch tỷ giá do chuyển đổi BCTC,Chênh lệch tỷ giá do chuyển đổi BCTC,-,-,1.957.101.302,-,-,-,-,1.957.101.302,,,1957101302.0,,,,,1957101302.0
Cổ phần hóa một Công ty trong Tập đoàn,Cổ phần hóa một Công ty trong Tập đoàn,Cổ phần hóa một Công ty trong Tập đoàn,-,-,-,8.720.059.063,-,-,-,8.720.059.063,,,,8720059063.0,,,,8720059063.0
Bàn giao vốn,Bàn giao vốn,Bàn giao vốn,-,-,-,(159.049.371.994),-,-,-,(159.049.371.994),,,,-159049371994.0,,,,-159049371994.0
Giao dịch vốn chủ sở hữu,Giao dịch vốn chủ sở hữu,Giao dịch vốn chủ sở hữu,-,-,-,-,-,1.147.580.167,-,1.147.580.167,,,,,,1147580167.0,,1147580167.0
Hợp nhất Kinh doanh,Hợp nhất Kinh doanh,Hợp nhất Kinh doanh,-,(13.201.864.840),(7.496.069.000),(49.700.522.087),-,(6.099.581.684),(134.803.907.621),(211.301.945.231),,-13201864840.0,-7496069000.0,-49700522087.0,,-6099581684.0,-134803907621.0,-211301945231.0
Tăng giảm khác,Tăng giảm khác,Tăng giảm khác,-,-,-,(399.547.027),-,181.611.919,-,(217.935.108),,,,-399547027.0,,181611919.0,,-217935108.0
