row_label_raw,row_label_full,- Công ty Cổ phần Bệnh Viện Đa Khoa Quốc Tế Hạnh Phúc (1),col_1,658.480.000.000,numeric__col_1,numeric__658.480.000.000
- Công ty CP Đầu Tư & Phát Triển Tân Thành (2),- Công ty CP Đầu Tư & Phát Triển Tân Thành (2),- Công ty CP Đầu Tư & Phát Triển Tân Thành (2),69.245.610.531,76.058.750.000,69245610531.0,76058750000.0
- Công ty TNHH YCH-PROTRADE (3),- Công ty TNHH YCH-PROTRADE (3),- Công ty TNHH YCH-PROTRADE (3),20.541.052.576,20.581.817.619,20541052576.0,20581817619.0
- Công ty CP Cao su Dầu Tiếng Việt Lào (4),- Công ty CP Cao su Dầu Tiếng Việt Lào (4),- Công ty CP Cao su Dầu Tiếng Việt Lào (4),19.160.000.000,-,19160000000.0,
- Công ty Điện lực Bình Dương,- Công ty Điện lực Bình Dương,- Công ty Điện lực Bình Dương,5.749.999.999,-,5749999999.0,
- Đối tượng khác,- Đối tượng khác,- Đối tượng khác,1.025.651.020,5.046.967.677,1025651020.0,5046967677.0
,,,115.722.314.126,760.167.535.296,115722314126.0,760167535296.0
b) Phải thu phân loại theo kỳ hạn thanh toán,b) Phải thu phân loại theo kỳ hạn thanh toán,b) Phải thu phân loại theo kỳ hạn thanh toán,b) Phải thu phân loại theo kỳ hạn thanh toán,b) Phải thu phân loại theo kỳ hạn thanh toán,,
- Các khoản phải thu ngắn hạn,b) Phải thu phân loại theo kỳ hạn thanh toán > - Các khoản phải thu ngắn hạn,- Các khoản phải thu ngắn hạn,115.722.314.126,760.167.535.296,115722314126.0,760167535296.0
- Các khoản phải thu dài hạn,- Các khoản phải thu dài hạn,- Các khoản phải thu dài hạn,-,-,,
,,,115.722.314.126,760.167.535.296,115722314126.0,760167535296.0
