row_label_raw,row_label_full,- Công ty Cổ phần Hung Vương,Công ty liên kết,312.198.945.948,312.818.524.893,numeric__Công ty liên kết,numeric__312.198.945.948,numeric__312.818.524.893
Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,,,
- Công ty CP Đầu tư & Phát triển Tân Thành,Phải trả người bán > - Công ty CP Đầu tư & Phát triển Tân Thành,- Công ty CP Đầu tư & Phát triển Tân Thành,Công ty liên kết,-,124.163.944.983,,,124163944983.0
- Công ty cổ phần phát triển Phú Mỹ,Phải trả người bán > - Công ty cổ phần phát triển Phú Mỹ,- Công ty cổ phần phát triển Phú Mỹ,Công ty liên kết,262.454.858,630.045.031,,262454858.0,630045031.0
Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,,,
- Văn phòng Tỉnh ủy,Phải trả khác ngắn hạn > - Văn phòng Tỉnh ủy,- Văn phòng Tỉnh ủy,Chủ sở hữu,690.863.107.862,556.285.672.072,,690863107862.0,556285672072.0
- Công ty Cổ phần May mặc Bình Dương,Phải trả khác ngắn hạn > - Công ty Cổ phần May mặc Bình Dương,- Công ty Cổ phần May mặc Bình Dương,Công ty liên kết,-,895.468.909,,,895468909.0
