row_label_raw,row_label_full,Nội dung,Nội dung_1,31/12/2016 > Công bố lại,31/12/2016 > Đã công bố trước đây,Ảnh hưởng,numeric__Nội dung_1,numeric__31/12/2016 > Công bố lại,numeric__31/12/2016 > Đã công bố trước đây,numeric__Ảnh hưởng
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,i,251.541.589.532,236.593.608.008,14.947.981.524,,251541589532.0,236593608008.0,14947981524.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,,638.986.982.856,661.527.518.141,(22.540.535.285),,638986982856.0,661527518141.0,-22540535285.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,,(387.445.393.324),(424.933.910.133),37.488.516.809,,-387445393324.0,-424933910133.0,37488516809.0
Chỉ phí xây dựng cơ bản dở dang,Chỉ phí xây dựng cơ bản dở dang,Chỉ phí xây dựng cơ bản dở dang,i; ii,720.793.331.929,777.549.755.045,(56.756.423.116),,720793331929.0,777549755045.0,-56756423116.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,11.000.000,(8.256.708),19.256.708,,11000000.0,-8256708.0,19256708.0
Thay đổi trong Tổng tài sản,Thay đổi trong Tổng tài sản,Thay đổi trong Tổng tài sản,,5.853.954.869.268,5.895.744.054.152,(41.789.184.884),,5853954869268.0,5895744054152.0,-41789184884.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,iii,20.196.620.826,6.522.938.552,13.673.682.274,,20196620826.0,6522938552.0,13673682274.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,iv,163.222.968.199,156.261.983.884,6.960.984.315,,163222968199.0,156261983884.0,6960984315.0
Lỗ lũy kế,Lỗ lũy kế,Lỗ lũy kế,i; ii; iii; iv,479.607.185.623,542.031.037.096,(62.423.851.473),,479607185623.0,542031037096.0,-62423851473.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,,96.630.059.650,139.183.656.702,(42.553.597.052),,96630059650.0,139183656702.0,-42553597052.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,,382.977.125.973,402.847.380.394,(19.870.254.421),,382977125973.0,402847380394.0,-19870254421.0
Thay đổi trong Tổng nguồn vốn,Thay đổi trong Tổng nguồn vốn,Thay đổi trong Tổng nguồn vốn,,5.853.954.869.268,5.895.744.054.152,(41.789.184.884),,5853954869268.0,5895744054152.0,-41789184884.0
