row_label_raw,row_label_full,Giá trị khoảnđầu tư theo phươngpháp vốn chủ sở hữu,Dự phòng,Giá trị khoảnđầu tư theo phươngpháp vốn chủ sở hữu_1,Dự phòng_1,numeric__Dự phòng,numeric__Giá trị khoảnđầu tư theo phươngpháp vốn chủ sở hữu_1,numeric__Dự phòng_1
VND,VND,VND,VND,VND,VND,,,
1.177.831.577.457,VND > 1.177.831.577.457,1.177.831.577.457,-,1.105.385.199.320,-,,1105385199320.0,
226.795.086.424,VND > 226.795.086.424,226.795.086.424,-,228.589.322.937,-,,228589322937.0,
151.934.442.074,VND > 151.934.442.074,151.934.442.074,-,124.220.560.218,-,,124220560218.0,
331.059.881.576,VND > 331.059.881.576,331.059.881.576,-,362.394.258.880,-,,362394258880.0,
62.926.960.979,62.926.960.979,62.926.960.979,-,-,-,,,
70.046.349.628,62.926.960.979 > 70.046.349.628,70.046.349.628,-,71.541.961.340,-,,71541961340.0,
-,62.926.960.979 > -,-,-,1.500.000.000,-,,1500000000.0,
39.905.235.324,62.926.960.979 > 39.905.235.324,39.905.235.324,-,34.965.912.916,-,,34965912916.0,
196.349.893.647,62.926.960.979 > 196.349.893.647,196.349.893.647,-,196.349.893.647,-,,196349893647.0,
98.813.727.805,62.926.960.979 > 98.813.727.805,98.813.727.805,-,85.823.289.382,-,,85823289382.0,
