row_label_raw,row_label_full,Ông Trần Nguyên Vũ > Ông Nguyễn Văn Minh,Chủ tịch,(Bổ nhiệm ngày 01/10/2017) > (Miễn nhiệm ngày 01/10/2017),numeric__Chủ tịch,numeric__(Bổ nhiệm ngày 01/10/2017) > (Miễn nhiệm ngày 01/10/2017)
Ông Huỳnh Công Phát,Ông Huỳnh Công Phát,Ông Huỳnh Công Phát,Thành viên,,,
Ông Huỳnh Thanh Hải,Ông Huỳnh Thanh Hải,Ông Huỳnh Thanh Hải,Thành viên,,,
Ông Lý Thanh Châu,Ông Lý Thanh Châu,Ông Lý Thanh Châu,Thành viên,,,
