row_label_raw,row_label_full,- Công ty CP Cao su Dầu Tiếng Việt Lào,Tinh Bình Dương,"43,40%","40,00%","Trồng, khai thác, chế biến mú cao su",numeric__Tinh Bình Dương,"numeric__43,40%","numeric__40,00%","numeric__Trồng, khai thác, chế biến mú cao su"
- Công ty Cổ phần phát triển Phú Mỹ,- Công ty Cổ phần phát triển Phú Mỹ,- Công ty Cổ phần phát triển Phú Mỹ,Tinh Bình Dương,"35,00%","35,00%","KD BĐS, kinh doanh sân golf",,0.35,0.35,
- Công ty TNHH FrieslandCampina VN,- Công ty TNHH FrieslandCampina VN,- Công ty TNHH FrieslandCampina VN,Tinh Bình Dương,"30,00%","30,00%",Kinh doanh sữa và nước giải khát,,0.3,0.3,
- Công ty CP Bệnh viện PS QT Hạnh Phúc,- Công ty CP Bệnh viện PS QT Hạnh Phúc,- Công ty CP Bệnh viện PS QT Hạnh Phúc,Tinh Bình Dương,"27,52%","24,00%",Dịch vụ y tế,,0.2752,0.24,
- Công ty Cổ phần Hưng Vương,- Công ty Cổ phần Hưng Vương,- Công ty Cổ phần Hưng Vương,Tinh Bình Dương,"30,90%","30,90%","SXKD SP từ gỗ, KD Hạ tầng KCN",,0.309,0.309,
- Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,Tinh Bình Dương,"30,00%","30,00%",Kinh doanh dịch vụ Logistic,,0.3,0.3,
- Công ty CP Đầu tư & Phát triển Tân Thành,- Công ty CP Đầu tư & Phát triển Tân Thành,- Công ty CP Đầu tư & Phát triển Tân Thành,Tinh Bình Dương,"65,02%","30,00%","KD Bất động sân, KD sân golf",,0.6502,0.3,
- Công ty Cổ phần May mặc Bình Dương,- Công ty Cổ phần May mặc Bình Dương,- Công ty Cổ phần May mặc Bình Dương,Tinh Bình Dương,"48,89%","48,89%",Sản xuất KD hàng may mặc,,0.4889,0.4889,
