row_label_raw,row_label_full,STT,Tên Công ty,Nơi thành lập,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,numeric__Tên Công ty,numeric__Nơi thành lập,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
1,1,1,Công ty CP Cao su Dầu Tiếng Việt Lào,Tỉnh Bình Dương,"43,40%","40,00%","Trồng, khai thác, chế biến mũ cao su",,,0.434,0.4,
2,2,2,Công ty Cổ phần phát triển Phú Mỹ,Tỉnh Bình Dương,"35,00%","35,00%","Bất động sản, kinh doanh sân golf",,,0.35,0.35,
3,3,3,Công ty TNHH FrieslandCampina VN,Tỉnh Bình Dương,"30,00%","30,00%",Kinh doanh sữa và nước giải khát,,,0.3,0.3,
4,4,4,Công ty CP Bệnh viện PS QT Hạnh Phúc,Tỉnh Bình Dương,"27,52%","24,00%",Dịch vụ y tế,,,0.2752,0.24,
