row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống,Trên 1 nămđến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống,numeric__Trên 1 nămđến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,,,,
Vay và nợ,Tại ngày 31/12/2017 > Vay và nợ,Vay và nợ,837.070.570.332,-,-,837.070.570.332,837070570332.0,,,837070570332.0
"Phải trả người bán, phải trả khác","Tại ngày 31/12/2017 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",740.480.451.223,63.893.658.151,-,804.374.109.374,740480451223.0,63893658151.0,,804374109374.0
Chi phí phải trả,Tại ngày 31/12/2017 > Chi phí phải trả,Chi phí phải trả,401.828.685.553,-,-,401.828.685.553,401828685553.0,,,401828685553.0
,,,1.979.379.707.108,63.893.658.151,-,2.043.273.365.259,1979379707108.0,63893658151.0,,2043273365259.0
Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,Tại ngày 01/01/2017,,,,
Vay và nợ,Tại ngày 01/01/2017 > Vay và nợ,Vay và nợ,1.426.576.534.180,-,-,1.426.576.534.180,1426576534180.0,,,1426576534180.0
"Phải trả người bán, phải trả khác","Tại ngày 01/01/2017 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",766.503.629.126,65.544.992.764,-,832.048.621.890,766503629126.0,65544992764.0,,832048621890.0
Chi phí phải trả,Tại ngày 01/01/2017 > Chi phí phải trả,Chi phí phải trả,407.571.733.754,-,-,407.571.733.754,407571733754.0,,,407571733754.0
,,,2.600.651.897.060,65.544.992.764,-,2.666.196.889.824,2600651897060.0,65544992764.0,,2666196889824.0
