row_label_raw,row_label_full,col_0,col_1,31/12/2017,01/01/2017,numeric__col_1,numeric__31/12/2017,numeric__01/01/2017
,,,,VND,VND,,,
a),a),a),Ngắn hạn,,,,,
,,,- Kinh phí công đoàn,2.147.156.228,1.879.249.476,,2147156228.0,1879249476.0
,,,"- Nhận ký quỹ, ký cược ngắn hạn",22.481.439.450,71.879.935.105,,22481439450.0,71879935105.0
,,,- Lợi nhuận phải trả chủ sở hữu,678.622.646.861,523.153.181.302,,678622646861.0,523153181302.0
,,,- Cổ tức phải trả,295.782.000,24.124.000,,295782000.0,24124000.0
,,,- Phải trả tiền lãi vay,-,1.785.089.656,,,1785089656.0
,,,- Khoản giữ lại bảo hành,8.642.745.146,-,,8642745146.0,
,,,- Phải nộp 10% Ngân sách Đảng,12.240.461.000,20.610.091.815,,12240461000.0,20610091815.0
,,,- Phải trả khác,963.338.906,1.223.499.335,,963338906.0,1223499335.0
,,,,725.393.569.591,620.555.170.689,,725393569591.0,620555170689.0
