row_label_raw,row_label_full,31/12/2017,01/01/2017,numeric__01/01/2017
"43.195,41","43.195,41","43.195,41","32.774,20",32774.2
Năm 2017,Năm 2017,Năm 2017,Năm 2016,
VND,VND,VND,VND,
680.773.134.404,VND > 680.773.134.404,680.773.134.404,1.178.764.751.060,1178764751060.0
26.435.240.719,VND > 26.435.240.719,26.435.240.719,330.167.280.529,330167280529.0
216.849.029.544,VND > 216.849.029.544,216.849.029.544,224.942.000.134,224942000134.0
-,VND > -,-,134.019.287.647,134019287647.0
2.660.212.577,VND > 2.660.212.577,2.660.212.577,258.054.928.895,258054928895.0
3.775.028.766,VND > 3.775.028.766,3.775.028.766,4.743.775.812,4743775812.0
105.779.213.493,VND > 105.779.213.493,105.779.213.493,51.209.040.484,51209040484.0
15.462.014.000,VND > 15.462.014.000,15.462.014.000,16.174.018.535,16174018535.0
1.051.733.873.503,VND > 1.051.733.873.503,1.051.733.873.503,2.198.075.083.096,2198075083096.0
