row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,LNST chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__LNST chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,2.276.123.620.000,991.261.882.458,(4.908.890.000),800.503.556.918,1.949.653.810.877,6.012.633.980.253,2276123620000.0,991261882458.0,-4908890000.0,800503556918.0,1949653810877.0,6012633980253.0
Tăng vốn điều lệ,Tăng vốn điều lệ,Tăng vốn điều lệ,150.000.000.000,1.260.946.550.000,-,-,-,1.410.946.550.000,150000000000.0,1260946550000.0,,,,1410946550000.0
Giảm vốn điều lệ,Giảm vốn điều lệ,Giảm vốn điều lệ,(762.400.000),(797.400.000),1.524.800.000,-,-,(35.000.000),-762400000.0,-797400000.0,1524800000.0,,,-35000000.0
Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,Phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,36.354.980.000,(35.000.000),-,-,-,36.319.980.000,36354980000.0,-35000000.0,,,,36319980000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.810.691.843.397,1.810.691.843.397,,,,,1810691843397.0,1810691843397.0
Cổ tức (ii),Cổ tức (ii),Cổ tức (ii),-,-,-,-,(762.662.698.800),(762.662.698.800),,,,,-762662698800.0,-762662698800.0
"Trích quỹ khen thưởng, phúc lợi (iii)(Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (iii)(Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (iii)(Thuyết minh 24)",-,-,-,-,(51.452.000.000),(51.452.000.000),,,,,-51452000000.0,-51452000000.0
Trích quỹ đầu tư phát triển (iii),Trích quỹ đầu tư phát triển (iii),Trích quỹ đầu tư phát triển (iii),-,-,-,411.617.000.000,(411.617.000.000),-,,,,411617000000.0,-411617000000.0,
Trích quỹ khen thưởng Hội đồng Quản trị và Ban Điều hành (iii) (Thuyết minh 21),Trích quỹ khen thưởng Hội đồng Quản trị và Ban Điều hành (iii) (Thuyết minh 21),Trích quỹ khen thưởng Hội đồng Quản trị và Ban Điều hành (iii) (Thuyết minh 21),-,-,-,-,(12.348.000.000),(12.348.000.000),,,,,-12348000000.0,-12348000000.0
Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,2.461.716.200.000,2.251.376.032.458,(3.384.090.000),1.212.120.556.918,2.522.265.955.474,8.444.094.654.850,2461716200000.0,2251376032458.0,-3384090000.0,1212120556918.0,2522265955474.0,8444094654850.0
Tăng vốn điều lệ (i),Tăng vốn điều lệ (i),Tăng vốn điều lệ (i),819.975.680.000,(400.000.000.000),-,-,(419.975.680.000),-,819975680000.0,-400000000000.0,,,-419975680000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.971.099.177.135,1.971.099.177.135,,,,,1971099177135.0,1971099177135.0
Cổ tức (ii),Cổ tức (ii),Cổ tức (ii),-,-,-,-,(459.199.480.600),(459.199.480.600),,,,,-459199480600.0,-459199480600.0
"Trích quỹ khen thưởng, phúc lợi (iii)(Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (iii)(Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (iii)(Thuyết minh 24)",-,-,-,-,(90.535.000.000),(90.535.000.000),,,,,-90535000000.0,-90535000000.0
Trích quỹ đầu tư phát triển (iii),Trích quỹ đầu tư phát triển (iii),Trích quỹ đầu tư phát triển (iii),-,-,-,724.277.000.000,(724.277.000.000),-,,,,724277000000.0,-724277000000.0,
Trích quỹ khen thưởng Hội đồng Quản trị và Ban Điều hành (iii) (Thuyết minh 21),Trích quỹ khen thưởng Hội đồng Quản trị và Ban Điều hành (iii) (Thuyết minh 21),Trích quỹ khen thưởng Hội đồng Quản trị và Ban Điều hành (iii) (Thuyết minh 21),-,-,-,-,(48.888.000.000),(48.888.000.000),,,,,-48888000000.0,-48888000000.0
Khác (iv),Khác (iv),Khác (iv),-,-,-,-,(10.390.687.409),(10.390.687.409),,,,,-10390687409.0,-10390687409.0
Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,3.281.691.880.000,1.851.376.032.458,(3.384.090.000),1.936.397.556.918,2.740.099.284.600,9.806.180.663.976,3281691880000.0,1851376032458.0,-3384090000.0,1936397556918.0,2740099284600.0,9806180663976.0
