row_label_raw,row_label_full,col_0,1/1/2023Giá trị ghi số/Số cókhả năng trả nợVND,Biến động trong năm > TăngVND,Biến động trong năm > GiảmVND,31/12/2023Giá trị ghi số/Số cókhả năng trả nợVND,numeric__1/1/2023Giá trị ghi số/Số cókhả năng trả nợVND,numeric__Biến động trong năm > TăngVND,numeric__Biến động trong năm > GiảmVND,numeric__31/12/2023Giá trị ghi số/Số cókhả năng trả nợVND
Vay từ cá nhân (i),Vay từ cá nhân (i),Vay từ cá nhân (i),32.431.978.659,21.695.905.713,(50.387.070.862),3.740.813.510,32431978659.0,21695905713.0,-50387070862.0,3740813510.0
Vay ngắn hạn từ ngân hàng (ii),Vay ngắn hạn từ ngân hàng (ii),Vay ngắn hạn từ ngân hàng (ii),2.650.613.897.113,8.137.777.058.976,(8.407.843.514.906),2.380.547.441.183,2650613897113.0,8137777058976.0,-8407843514906.0,2380547441183.0
,,,2.683.045.875.772,8.159.472.964.689,(8.458.230.585.768),2.384.288.254.693,2683045875772.0,8159472964689.0,-8458230585768.0,2384288254693.0
