row_label_raw,row_label_full,col_0,Mã số,2023 VND,2022 VND,numeric__Mã số,numeric__2023 VND,numeric__2022 VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,01,2.488.760.002.374,2.312.327.554.713,1.0,2488760002374.0,2312327554713.0
Khấu hao,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Khấu hao,Khấu hao,02,81.257.091.304,79.516.376.971,2.0,81257091304.0,79516376971.0
Các khoản dự phòng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,2.374.779.451,2.868.205.863,3.0,2374779451.0,2868205863.0
Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,(1.611.805.757),(8.239.903.282),4.0,-1611805757.0,-8239903282.0
Lãi từ các hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ các hoạt động đầu tư,Lãi từ các hoạt động đầu tư,05,(79.561.268.312),(21.327.686.776),5.0,-79561268312.0,-21327686776.0
Chi phí lãi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay,Chi phí lãi vay,06,118.568.804.103,94.421.152.974,6.0,118568804103.0,94421152974.0
Lợi nhuận từ các hoạt động kinh doanh trước những thay đổi vốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận từ các hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ các hoạt động kinh doanh trước những thay đổi vốn lưu động,08,2.609.787.603.163,2.459.565.700.463,8.0,2609787603163.0,2459565700463.0
Biến động các khoản phải thu và tài sản ngắn hạn khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu và tài sản ngắn hạn khác,Biến động các khoản phải thu và tài sản ngắn hạn khác,09,39.100.711.762,(52.151.674.870),9.0,39100711762.0,-52151674870.0
Biến động hàng tồn kho,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,(436.683.979.881),(1.753.323.314.557),10.0,-436683979881.0,-1753323314557.0
