row_label_raw,row_label_full,Tên công ty,Hoạt động chính,Trụ sở,% quyền sở hữu và quyền biểu quyết,% quyền sở hữu và quyền biểu quyết_1,numeric__Hoạt động chính,numeric__Trụ sở,numeric__% quyền sở hữu và quyền biểu quyết,numeric__% quyền sở hữu và quyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Hoạt động chính,Trụ sở,31/12/2023,1/1/2023,,,,
Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,,,,
Công ty TNHH Một Thành viên Thời trang CAO,Công ty con sở hữu trực tiếp > Công ty TNHH Một Thành viên Thời trang CAO,Công ty TNHH Một Thành viên Thời trang CAO,"Kinh doanh trang sức, phụ kiện","170E Phan Đăng Lưu, Phường 3, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",100%,100%,,,1.0,1.0
Công ty TNHH Một Thành viên Giám định PNJ,Công ty con sở hữu trực tiếp > Công ty TNHH Một Thành viên Giám định PNJ,Công ty TNHH Một Thành viên Giám định PNJ,"Tư vấn và giám định vàng, bạc và đá quý","302 - 304 Phan Xích Long, Phường 7, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",100%,100%,,,1.0,1.0
Công ty TNHH Một Thành viên Chế tác và Kinh doanh Trang sức PNJ,Công ty con sở hữu trực tiếp > Công ty TNHH Một Thành viên Chế tác và Kinh doanh Trang sức PNJ,Công ty TNHH Một Thành viên Chế tác và Kinh doanh Trang sức PNJ,Chế tác và kinh doanh trang sức,"Số 23, Đường số 14, Phường 5, Quận Gò Váp, Thành phố Hồ Chí Minh, Việt Nam",100%,100%,,,1.0,1.0
