row_label_raw,row_label_full,Chủ tịch
Phó Chủ tịch,Phó Chủ tịch,Phó Chủ tịch
Phó Chủ tịch,Phó Chủ tịch,Phó Chủ tịch
(từ ngày 27 tháng 4 năm 2023),(từ ngày 27 tháng 4 năm 2023),(từ ngày 27 tháng 4 năm 2023)
Thành viên,Thành viên,Thành viên
(đến ngày 27 tháng 4 năm 2023),(đến ngày 27 tháng 4 năm 2023),(đến ngày 27 tháng 4 năm 2023)
Thành viên,Thành viên,Thành viên
Thành viên,Thành viên,Thành viên
(đến ngày 27 tháng 4 năm 2023),(đến ngày 27 tháng 4 năm 2023),(đến ngày 27 tháng 4 năm 2023)
Thành viên,Thành viên,Thành viên
(đến ngày 27 tháng 4 năm 2023),(đến ngày 27 tháng 4 năm 2023),(đến ngày 27 tháng 4 năm 2023)
Thành viên Độc lập,Thành viên Độc lập,Thành viên Độc lập
Thành viên Độc lập,Thành viên Độc lập,Thành viên Độc lập
Thành viên Độc lập,Thành viên Độc lập,Thành viên Độc lập
