row_label_raw,row_label_full,col_0,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính),Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính)_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính),numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22/12/2014 của Bộ Tài chính)_1
,,,2023VND,2022VND,,
Thành viên quản lý chủ chốt (*),Thành viên quản lý chủ chốt (*),Thành viên quản lý chủ chốt (*),,,,
Tổng thù lao trả cho thành viên quản lý chủ chốt - bình quân/tháng,Thành viên quản lý chủ chốt (*) > Tổng thù lao trả cho thành viên quản lý chủ chốt - bình quân/tháng,Tổng thù lao trả cho thành viên quản lý chủ chốt - bình quân/tháng,3.462.000.000,2.645.934.607,3462000000.0,2645934607.0
