row_label_raw,row_label_full,28. Loại hình và giá trị tài sản thế chấp của khách hàng,28. Loại hình và giá trị tài sản thế chấp của khách hàng > Giá trị đến31/12/2019,28. Loại hình và giá trị tài sản thế chấp của khách hàng > Giá trị đến01/01/2019,numeric__28. Loại hình và giá trị tài sản thế chấp của khách hàng > Giá trị đến31/12/2019,numeric__28. Loại hình và giá trị tài sản thế chấp của khách hàng > Giá trị đến01/01/2019
Loại tài sản đảm bảo,Loại tài sản đảm bảo,Loại tài sản đảm bảo,,,,
Bắt động sản,Loại tài sản đảm bảo > Bắt động sản,Bắt động sản,47.819.673,45.785.012,47819673.0,45785012.0
Bảo lãnh,Loại tài sản đảm bảo > Bảo lãnh,Bảo lãnh,11.000,11.900,11000.0,11900.0
Chứng khoán của doanh nghiệp,Loại tài sản đảm bảo > Chứng khoán của doanh nghiệp,Chứng khoán của doanh nghiệp,17.461.778,12.845.759,17461778.0,12845759.0
"Hàng hóa, nguyên liệu, nhiên liệu, vật liệu","Loại tài sản đảm bảo > Hàng hóa, nguyên liệu, nhiên liệu, vật liệu","Hàng hóa, nguyên liệu, nhiên liệu, vật liệu",5.506.025,5.761.743,5506025.0,5761743.0
Máy móc thiết bị chuyên dùng,Loại tài sản đảm bảo > Máy móc thiết bị chuyên dùng,Máy móc thiết bị chuyên dùng,1.786.526,1.891.518,1786526.0,1891518.0
Phương tiện vận tải,Loại tài sản đảm bảo > Phương tiện vận tải,Phương tiện vận tải,7.897.034,9.714.601,7897034.0,9714601.0
"Số dư tiền gửi, Số Tiết kiệm bằng VND tại TCTD","Loại tài sản đảm bảo > Số dư tiền gửi, Số Tiết kiệm bằng VND tại TCTD","Số dư tiền gửi, Số Tiết kiệm bằng VND tại TCTD",280.633,241.471,280633.0,241471.0
"Số dư tiền gửi, kỳ phiếu, chứng chỉ tiền gói bằng VND tại NCB","Loại tài sản đảm bảo > Số dư tiền gửi, kỳ phiếu, chứng chỉ tiền gói bằng VND tại NCB","Số dư tiền gửi, kỳ phiếu, chứng chỉ tiền gói bằng VND tại NCB",3.966.275,3.950.125,3966275.0,3950125.0
Số dư tiền gửi ngoại tệ tại NCB,Loại tài sản đảm bảo > Số dư tiền gửi ngoại tệ tại NCB,Số dư tiền gửi ngoại tệ tại NCB,2.131.134,2.054.865,2131134.0,2054865.0
Loại khác,Loại tài sản đảm bảo > Loại khác,Loại khác,55.051.941,46.432.591,55051941.0,46432591.0
Tổng,Loại tài sản đảm bảo > Tổng,Tổng,141.912.019,128.689.585,141912019.0,128689585.0
