row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > 6. Chứng khoán đầu tư,Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam > 31/12/2019,Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam > 01/01/2019,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam > 31/12/2019,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam > 01/01/2019
6.1. Chứng khoán đầu tư sẵn sàng để bán,6.1. Chứng khoán đầu tư sẵn sàng để bán,6.1. Chứng khoán đầu tư sẵn sàng để bán,6.1. Chứng khoán đầu tư sẵn sàng để bán,6.1. Chứng khoán đầu tư sẵn sàng để bán,,
a. Chứng khoán Nợ,6.1. Chứng khoán đầu tư sẵn sàng để bán > a. Chứng khoán Nợ,a. Chứng khoán Nợ,6.913.703,8.864.536,6913703.0,8864536.0
- Trải phiếu Chính phủ,6.1. Chứng khoán đầu tư sẵn sàng để bán > - Trải phiếu Chính phủ,- Trải phiếu Chính phủ,5.697.451,5.928.452,5697451.0,5928452.0
- Chứng khoán do các TCTD khác trong nước phát hành,6.1. Chứng khoán đầu tư sẵn sàng để bán > - Chứng khoán do các TCTD khác trong nước phát hành,- Chứng khoán do các TCTD khác trong nước phát hành,1.216.252,2.936.084,1216252.0,2936084.0
Cộng,6.1. Chứng khoán đầu tư sẵn sàng để bán > Cộng,Cộng,6.913.703,8.864.536,6913703.0,8864536.0
6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,,
- Chứng khoán Nợ do các TCKT trong nước phát hành (*),6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > - Chứng khoán Nợ do các TCKT trong nước phát hành (*),- Chứng khoán Nợ do các TCKT trong nước phát hành (*),6.366.102,7.353.896,6366102.0,7353896.0
- Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > - Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn,- Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn,(84.287),(85.487),-84287.0,-85487.0
Cộng,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > Cộng,Cộng,6.281.815,7.268.409,6281815.0,7268409.0
Tổng cộng,6.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > Tổng cộng,Tổng cộng,13.195.518,16.132.945,13195518.0,16132945.0
