row_label_raw,row_label_full,Chỉ tiêu,USD được quy đổi,EUR được quy đổi,Các ngoại tệ khác được quy đổi,Tổng,numeric__USD được quy đổi,numeric__EUR được quy đổi,numeric__Các ngoại tệ khác được quy đổi,numeric__Tổng
Tải sản,Tải sản,Tải sản,,,,,,,,
"Tiền mặt, vàng bạc, đã quý","Tải sản > Tiền mặt, vàng bạc, đã quý","Tiền mặt, vàng bạc, đã quý",57.729,30,268,58.027,57729.0,30.0,268.0,58027.0
Tiền gửi tại ngân hàng Nhà nước,Tải sản > Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,49.377,-,-,49.377,49377.0,,,49377.0
"Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tải sản > Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tiền, vàng gửi tại và cho vay các TCTD khác (*)",213.863,19.127,6.553,239.543,213863.0,19127.0,6553.0,239543.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Tải sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),1.687.413,9.815,-,1.697.228,1687413.0,9815.0,,1697228.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),719.096,-,-,719.096,719096.0,,,719096.0
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,-,-,,,,
"Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,,,,
Tải sản cố định và Bất động sản đầu tư,Tải sản cố định và Bất động sản đầu tư,Tải sản cố định và Bất động sản đầu tư,-,-,-,-,,,,
Tải sản Cỏ khác (*),Tải sản cố định và Bất động sản đầu tư > Tải sản Cỏ khác (*),Tải sản Cỏ khác (*),2.152,-,-,2.152,2152.0,,,2152.0
Tổng Tài sản,Tải sản cố định và Bất động sản đầu tư > Tổng Tài sản,Tổng Tài sản,2.729.630,28.972,6.821,2.765.423,2729630.0,28972.0,6821.0,2765423.0
Nợ phải trả và Vốn chủ sở hữu,Nợ phải trả và Vốn chủ sở hữu,Nợ phải trả và Vốn chủ sở hữu,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả và Vốn chủ sở hữu > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,67,-,67,,67.0,,67.0
Tiền gửi của khách hàng,Nợ phải trả và Vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,2.800.342,1.178,113,2.801.633,2800342.0,1178.0,113.0,2801633.0
Phát hành giấy tờ cỏ giá,Phát hành giấy tờ cỏ giá,Phát hành giấy tờ cỏ giá,-,-,-,-,,,,
Các khoản nợ khác,Phát hành giấy tờ cỏ giá > Các khoản nợ khác,Các khoản nợ khác,99,-,-,99,99.0,,,99.0
Vốn và các quý,Vốn và các quý,Vốn và các quý,-,-,-,-,,,,
Tổng Nợ phải trả và Vốn chủ sở hữu,Vốn và các quý > Tổng Nợ phải trả và Vốn chủ sở hữu,Tổng Nợ phải trả và Vốn chủ sở hữu,2.800.441,1.245,113,2.801.799,2800441.0,1245.0,113.0,2801799.0
Trạng thái tiền tệ nội bảng,Vốn và các quý > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,(70.811),27.727,6.708,(36.376),-70811.0,27727.0,6708.0,-36376.0
Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,-,-,-,-,,,,
"Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ ngoại bảng > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",(70.811),27.727,6.708,(36.376),-70811.0,27727.0,6708.0,-36376.0
