row_label_raw,row_label_full,CHÍ TIÊU,Vốn góp chủ sở hữu,Cổ phiếu quỹ,Chênh lệch tỷ giá hồi doái,Quỹ khác,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Lợi nhuận chưa phân phối,Tổng,numeric__Vốn góp chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hồi doái,numeric__Quỹ khác,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Lợi nhuận chưa phân phối,numeric__Tổng
Số dư tại ngày 01/01/2018,Số dư tại ngày 01/01/2018,Số dư tại ngày 01/01/2018,3.010.216,(29.644),-,29.644,1.105,78.998,47.769,80.053,3.218.141,3010216.0,-29644.0,,29644.0,1105.0,78998.0,47769.0,80053.0,3218141.0
- Lợi nhuận tăng trong năm,- Lợi nhuận tăng trong năm,- Lợi nhuận tăng trong năm,-,-,-,-,-,-,-,36.240,36.240,,,,,,,,36240.0,36240.0
- Các khoản giảm khác,- Các khoản giảm khác,- Các khoản giảm khác,-,-,-,-,-,-,-,(21.615),(21.615),,,,,,,,-21615.0,-21615.0
Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,3.010.216,(29.644),-,29.644,1.105,78.998,47.769,94.678,3.232.766,3010216.0,-29644.0,,29644.0,1105.0,78998.0,47769.0,94678.0,3232766.0
Số dư tại ngày 01/01/2019,Số dư tại ngày 01/01/2019,Số dư tại ngày 01/01/2019,3.010.216,(29.644),-,29.644,1.105,78.998,47.769,94.678,3.232.766,3010216.0,-29644.0,,29644.0,1105.0,78998.0,47769.0,94678.0,3232766.0
- Tăng vốn trong năm,- Tăng vốn trong năm,- Tăng vốn trong năm,1.091.339,-,-,-,-,-,-,-,1.091.339,1091339.0,,,,,,,,1091339.0
- Lợi nhuận tăng trong năm,- Lợi nhuận tăng trong năm,- Lợi nhuận tăng trong năm,-,-,-,-,-,-,-,43.142,43.142,,,,,,,,43142.0,43142.0
- Trích bổ sung chi phí thuộc Để án Tải cấu trúc,- Trích bổ sung chi phí thuộc Để án Tải cấu trúc,- Trích bổ sung chi phí thuộc Để án Tải cấu trúc,-,-,-,-,-,-,-,(36.239),(36.239),,,,,,,,-36239.0,-36239.0
- Phân phối lợi nhuận theo nghị quyết Đại Hội đồng Cổ đông,- Phân phối lợi nhuận theo nghị quyết Đại Hội đồng Cổ đông,- Phân phối lợi nhuận theo nghị quyết Đại Hội đồng Cổ đông,-,-,-,-,-,-,-,(24.336),(24.336),,,,,,,,-24336.0,-24336.0
Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,4.101.555,(29.644),-,29.644,1.105,78.998,47.769,77.245,4.306.672,4101555.0,-29644.0,,29644.0,1105.0,78998.0,47769.0,77245.0,4306672.0
