row_label_raw,row_label_full,Công ty phát hành > Công ty TNHH MTV Mua bán nợ Việt Nam ( tên cũ Công ty Mua bán nợ và tài sản tồn động của doanh nghiệp) - DATC > Công ty CP Hoàng Gia ĐL > Công ty Cp chứng khoán Everest > Cty TNHH I thành viên quản lý tài sản của các TCTD Việt Nam,Ngày đáo hạn > Năm 2023 > Năm 2021 > 18/06/2020 > Năm 2023 > Năm 2024 > Năm 2025 > Năm 2026 > Năm 2021 > Năm 2022 > Năm 2023 > Năm 2024,"Lãi suất > 8.9%/năm > 10,8%/năm > 10%/năm > 0%/năm",Số lượng trái phiếu > 31.554 > 250.000 > 500 > 20 mã > 10 mã > 126 mã > 30 mã > 8 mã > 10 mã > 24 mã > 17 mã,Giá trị đầu tư > 31.554 > 250.000 > 50.000 > 509.274 > 19.596 > 3.067.516 > 882.895 > 110.301 > 648.061 > 488.720 > 308.185,numeric__Ngày đáo hạn > Năm 2023 > Năm 2021 > 18/06/2020 > Năm 2023 > Năm 2024 > Năm 2025 > Năm 2026 > Năm 2021 > Năm 2022 > Năm 2023 > Năm 2024,"numeric__Lãi suất > 8.9%/năm > 10,8%/năm > 10%/năm > 0%/năm",numeric__Số lượng trái phiếu > 31.554 > 250.000 > 500 > 20 mã > 10 mã > 126 mã > 30 mã > 8 mã > 10 mã > 24 mã > 17 mã,numeric__Giá trị đầu tư > 31.554 > 250.000 > 50.000 > 509.274 > 19.596 > 3.067.516 > 882.895 > 110.301 > 648.061 > 488.720 > 308.185
Tổng cộng,Tổng cộng,Tổng cộng,,,,6.366.102,,,,6366102.0
"7. Góp vốn, đầu tư dài hạn","7. Góp vốn, đầu tư dài hạn","7. Góp vốn, đầu tư dài hạn",,,31/12/2019,01/01/2019,,,,
- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,,,,
Các khoản đầu tư dài hạn khác,- Phân tích giá trị đầu tư theo loại hình đầu tư > Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,,,719.600,719.600,,,719600.0,719600.0
Dự phòng giảm giá đầu tư dài hạn,- Phân tích giá trị đầu tư theo loại hình đầu tư > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,,(64.918),(12.918),,,-64918.0,-12918.0
Tổng cộng,- Phân tích giá trị đầu tư theo loại hình đầu tư > Tổng cộng,Tổng cộng,,,654.682,706.682,,,654682.0,706682.0
