row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất có thời hạn,Phần mềm máy vi tính,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất có thời hạn,numeric__Phần mềm máy vi tính,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,1.032.340,49.393,54.512,1.136.245,1032340.0,49393.0,54512.0,1136245.0
- Tăng trong năm,Nguyên giá TSCĐ vô hình > - Tăng trong năm,- Tăng trong năm,-,8.466,170,8.636,,8466.0,170.0,8636.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ vô hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(651.202),-,-,(651.202),-651202.0,,,-651202.0
Số dư cuối năm,Nguyên giá TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,381.138,57.859,54.682,493.679,381138.0,57859.0,54682.0,493679.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,184,20.303,8.149,28.636,184.0,20303.0,8149.0,28636.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,23,6.109,7.852,13.984,23.0,6109.0,7852.0,13984.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,207,26.412,16.001,42.620,207.0,26412.0,16001.0,42620.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,1.032.156,29.090,46.363,1.107.609,1032156.0,29090.0,46363.0,1107609.0
Số dư cuối năm,Giá trị còn lại của TSCĐ vô hình > Số dư cuối năm,Số dư cuối năm,380.931,31.447,38.681,451.059,380931.0,31447.0,38681.0,451059.0
