row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > (*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau:,Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam > Số tiền,Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam > Ngày đảo hạn,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam > Số tiền,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam > Ngày đảo hạn
Bằng VND,Bằng VND,Bằng VND,640.923,,640923.0,
Công ty Tài chính cổ phần Tín Việt,Công ty Tài chính cổ phần Tín Việt,Công ty Tài chính cổ phần Tín Việt,50.000,17/03/2020,50000.0,
Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,116.000,18/02/2020,116000.0,
Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,115.675,07/01/2020,115675.0,
Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,127.298,08/01/2020,127298.0,
Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,231.950,28/02/2020,231950.0,
Bằng ngoại hồi,Bằng ngoại hồi,Bằng ngoại hồi,243.285,,243285.0,
Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,115.850,07/01/2020,115850.0,
Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,Công ty Tài chính Cổ phần Điện lực,127.435,08/01/2020,127435.0,
Cộng,Cộng,Cộng,884.208,,884208.0,
