row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam,Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Đơn vị tính: Triệu đồng Việt Nam_1
10.2 Các khoản phải thu (t.t),10.2 Các khoản phải thu (t.t),10.2 Các khoản phải thu (t.t),10.2 Các khoản phải thu (t.t),10.2 Các khoản phải thu (t.t),,
Nguyễn Ngọc Khánh,10.2 Các khoản phải thu (t.t) > Nguyễn Ngọc Khánh,Nguyễn Ngọc Khánh,74.100,74.100,74100.0,74100.0
Kỳ quỹ Công ty CP chứng khoản BIDV,10.2 Các khoản phải thu (t.t) > Kỳ quỹ Công ty CP chứng khoản BIDV,Kỳ quỹ Công ty CP chứng khoản BIDV,2.102,260,2102.0,260.0
Các khoản phải thu bên ngoài khác,10.2 Các khoản phải thu (t.t) > Các khoản phải thu bên ngoài khác,Các khoản phải thu bên ngoài khác,242.756,277.829,242756.0,277829.0
Cộng,10.2 Các khoản phải thu (t.t) > Cộng,Cộng,5.659.071,4.432.482,5659071.0,4432482.0
10.3 Tài sản có khác,10.3 Tài sản có khác,10.3 Tài sản có khác,31/12/2019,01/01/2019,,
- Tài sản khác,10.3 Tài sản có khác > - Tài sản khác,- Tài sản khác,31.396,19.148,31396.0,19148.0
- Chi phí chờ phần bổ,10.3 Tài sản có khác > - Chi phí chờ phần bổ,- Chi phí chờ phần bổ,3.729.697,3.869.788,3729697.0,3869788.0
- Thanh toán chuyển tiền,10.3 Tài sản có khác > - Thanh toán chuyển tiền,- Thanh toán chuyển tiền,43.089,91.242,43089.0,91242.0
Cộng,10.3 Tài sản có khác > Cộng,Cộng,3.804.182,3.980.178,3804182.0,3980178.0
10.4 Dự phòng rủi ro cho các tài sản Có nội bằng khác,10.4 Dự phòng rủi ro cho các tài sản Có nội bằng khác,10.4 Dự phòng rủi ro cho các tài sản Có nội bằng khác,31/12/2019,01/01/2019,,
- Dự phòng rủi ro các khoản nợ phải thu khó đòi,10.4 Dự phòng rủi ro cho các tài sản Có nội bằng khác > - Dự phòng rủi ro các khoản nợ phải thu khó đòi,- Dự phòng rủi ro các khoản nợ phải thu khó đòi,(200.000),(35.859),-200000.0,-35859.0
Cộng,10.4 Dự phòng rủi ro cho các tài sản Có nội bằng khác > Cộng,Cộng,(200.000),(35.859),-200000.0,-35859.0
11. Tiền gửi và vay các TCTD khác,11. Tiền gửi và vay các TCTD khác,11. Tiền gửi và vay các TCTD khác,11. Tiền gửi và vay các TCTD khác,11. Tiền gửi và vay các TCTD khác,,
,,,31/12/2019,01/01/2019,,
11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,11.1. Tiền gửi của các TCTD khác,,
a. Tiền gửi không kỳ hạn,11.1. Tiền gửi của các TCTD khác > a. Tiền gửi không kỳ hạn,a. Tiền gửi không kỳ hạn,5.824.474,6.349.686,5824474.0,6349686.0
- Bằng VND,11.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,5.824.409,6.349.619,5824409.0,6349619.0
- Bằng ngoại hối,11.1. Tiền gửi của các TCTD khác > - Bằng ngoại hối,- Bằng ngoại hối,65,67,65.0,67.0
b. Tiền gửi có kỳ hạn,11.1. Tiền gửi của các TCTD khác > b. Tiền gửi có kỳ hạn,b. Tiền gửi có kỳ hạn,5.755.815,2.106.707,5755815.0,2106707.0
- Bằng VND,11.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,3.740.025,2.106.707,3740025.0,2106707.0
- Bằng ngoại hối,11.1. Tiền gửi của các TCTD khác > - Bằng ngoại hối,- Bằng ngoại hối,2.015.790,-,2015790.0,
Cộng,11.1. Tiền gửi của các TCTD khác > Cộng,Cộng,11.580.289,8.456.393,11580289.0,8456393.0
