row_label_raw,row_label_full,CHÍ TIÊU,Thuyết minh,31/12/2019,01/01/2019,numeric__Thuyết minh,numeric__31/12/2019,numeric__01/01/2019
VIII. Vốn và các quỹ,VIII. Vốn và các quỹ,VIII. Vốn và các quỹ,V.16,4.306.672,3.232.766,,4306672.0,3232766.0
1. Vốn của TCTD,1. Vốn của TCTD,1. Vốn của TCTD,,4.071.911,2.980.572,,4071911.0,2980572.0
a. Vốn điều lệ,a. Vốn điều lệ,a. Vốn điều lệ,,4.101.555,3.010.216,,4101555.0,3010216.0
b. Vốn đầu tư XDCB,b. Vốn đầu tư XDCB,b. Vốn đầu tư XDCB,,-,-,,,
c. Thắng dư vốn cổ phần,c. Thắng dư vốn cổ phần,c. Thắng dư vốn cổ phần,,-,-,,,
d. Cổ phiếu quỹ,c. Thắng dư vốn cổ phần > d. Cổ phiếu quỹ,d. Cổ phiếu quỹ,,(29.644),(29.644),,-29644.0,-29644.0
2. Quỹ của TCTD,c. Thắng dư vốn cổ phần > 2. Quỹ của TCTD,2. Quỹ của TCTD,,157.516,157.516,,157516.0,157516.0
3. Chênh lệch tỷ giá hối đoái,3. Chênh lệch tỷ giá hối đoái,3. Chênh lệch tỷ giá hối đoái,,-,-,,,
4. Chênh lệch đánh giá lai tải sản,4. Chênh lệch đánh giá lai tải sản,4. Chênh lệch đánh giá lai tải sản,,-,-,,,
5. Lợi nhuận chưa phân phối,4. Chênh lệch đánh giá lai tải sản > 5. Lợi nhuận chưa phân phối,5. Lợi nhuận chưa phân phối,,77.245,94.678,,77245.0,94678.0
Lợi nhuận / lỗ năm nay,4. Chênh lệch đánh giá lai tải sản > Lợi nhuận / lỗ năm nay,Lợi nhuận / lỗ năm nay,,43.142,36.240,,43142.0,36240.0
Lợi nhuận / lỗ năm trước,4. Chênh lệch đánh giá lai tải sản > Lợi nhuận / lỗ năm trước,Lợi nhuận / lỗ năm trước,,34.103,58.438,,34103.0,58438.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,4. Chênh lệch đánh giá lai tải sản > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỐ HỮU,,80.394.022,72.422.170,,80394022.0,72422170.0
