row_label_raw,row_label_full,Chi tiêu,Quá hạn,Không chịu lãi,Đến 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 6 tháng,Từ 6 đến 12 tháng,Từ 1 đến 5 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Đến 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ 3 đến 6 tháng,numeric__Từ 6 đến 12 tháng,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,291.598,-,-,-,-,-,-,291.598,,291598.0,,,,,,,291598.0
Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,Tiền gửi tại ngân hàng Nhà nước,-,-,1.587.706,-,-,-,-,-,1.587.706,,,1587706.0,,,,,,1587706.0
"Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tiền, vàng gửi tại và cho vay các TCTD khác (*)","Tiền, vàng gửi tại và cho vay các TCTD khác (*)",-,-,6.651.833,32.000,-,-,-,-,6.683.833,,,6651833.0,32000.0,,,,,6683833.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,9.948,9.375,12.616,21.140,-,-,53.079,,,9948.0,9375.0,12616.0,21140.0,,,53079.0
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*),2.006.201,-,9.551.732,16.526.295,2.937.085,1.806.936,2.769.268,76.594,35.674.111,2006201.0,,9551732.0,16526295.0,2937085.0,1806936.0,2769268.0,76594.0,35674111.0
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,-,-,-,-,-,-,10.022,-,10.022,,,,,,,10022.0,,10022.0
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,123.536,1.076.261,907.000,350.000,515.618,8.266.196,4.979.821,16.218.432,,123536.0,1076261.0,907000.0,350000.0,515618.0,8266196.0,4979821.0,16218432.0
"Gộp vốn, đầu tư dài hạn (*)","Gộp vốn, đầu tư dài hạn (*)","Gộp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,-,719.600,719.600,,,,,,,,719600.0,719600.0
Tài sản cố định và Bắt động sản đầu tư,Tài sản cố định và Bắt động sản đầu tư,Tài sản cố định và Bắt động sản đầu tư,-,-,-,-,-,-,-,614.912,614.912,,,,,,,,614912.0,614912.0
Tài sản Có khác (*),Tài sản Có khác (*),Tài sản Có khác (*),-,10.383.062,165.209,253.479,221.621,56.042,2.660,13.725,11.095.798,,10383062.0,165209.0,253479.0,221621.0,56042.0,2660.0,13725.0,11095798.0
Tổng Tài sản,Tổng Tài sản,Tổng Tài sản,2.006.201,10.798.196,19.042.689,17.728.149,3.521.322,2.399.736,11.048.146,6.404.652,72.949.091,2006201.0,10798196.0,19042689.0,17728149.0,3521322.0,2399736.0,11048146.0,6404652.0,72949091.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi của và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,-,-,7.988.886,3.012.851,-,-,-,-,11.001.737,,,7988886.0,3012851.0,,,,,11001737.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,13.321.967,8.349.376,11.843.611,11.958.193,1.675.671,-,47.148.818,,,13321967.0,8349376.0,11843611.0,11958193.0,1675671.0,,47148818.0
