row_label_raw,row_label_full,"Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > V. Thông tin bổ sung cho các khoản mục trình bày trong Bảng cân đối kế toán > 1. Tiền mặt, vàng bạc, đá quỹ",Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > V. Thông tin bổ sung cho các khoản mục trình bày trong Bảng cân đối kế toán > 31/12/2019,Đơn vị tính: Triệu đồng Việt Nam > V. Thông tin bổ sung cho các khoản mục trình bày trong Bảng cân đối kế toán > 01/01/2019,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > V. Thông tin bổ sung cho các khoản mục trình bày trong Bảng cân đối kế toán > 31/12/2019,numeric__Đơn vị tính: Triệu đồng Việt Nam > V. Thông tin bổ sung cho các khoản mục trình bày trong Bảng cân đối kế toán > 01/01/2019
Tiền mặt bằng VND,Tiền mặt bằng VND,Tiền mặt bằng VND,193.314,233.571,193314.0,233571.0
Tiền mặt bằng ngoại tệ,Tiền mặt bằng ngoại tệ,Tiền mặt bằng ngoại tệ,38.410,58.027,38410.0,58027.0
"Kim loại quỹ, đá quỹ khác","Kim loại quỹ, đá quỹ khác","Kim loại quỹ, đá quỹ khác",,,,
Tổng cộng,"Kim loại quỹ, đá quỹ khác > Tổng cộng",Tổng cộng,231.724,291.598,231724.0,291598.0
2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,31/12/2019,01/01/2019,,
Tiền gửi thanh toán tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước > Tiền gửi thanh toán tại Ngân hàng Nhà nước,Tiền gửi thanh toán tại Ngân hàng Nhà nước,494.362,1.587.706,494362.0,1587706.0
Bằng VND,2. Tiền gửi tại Ngân hàng Nhà nước > Bằng VND,Bằng VND,252.185,1.538.329,252185.0,1538329.0
Bằng ngoại tệ,2. Tiền gửi tại Ngân hàng Nhà nước > Bằng ngoại tệ,Bằng ngoại tệ,242.177,49.377,242177.0,49377.0
Tổng cộng,2. Tiền gửi tại Ngân hàng Nhà nước > Tổng cộng,Tổng cộng,494.362,1.587.706,494362.0,1587706.0
